Number,StartMilliseconds,EndMilliseconds,Text
1,75105,76774,"OLD WOMAN:
Well, my dad was a farmer."
2,78209,80511,"Um... Like everybody else
back then."
3,82812,84715,"Of course,
he didn't start that way."
4,90788,92548,"MAN ON RADIO: Computer
says you're too tight."
5,92723,94358,"Nah, I got this."
6,94391,95593,Crossing the Straits.
7,98195,99863,"- Shutting it down, Cooper.
- Whoa!"
8,99897,101298,(POWERING DOWN)
9,101331,102700,Shutting it all down.
10,102733,103768,"No, I need power up!"
11,106604,108148,"- FEMALE COMPUTER VOICE: Eject!
- (COOPER SCREAMING)"
12,108172,109372,YOUNG MURPH: Dad?
13,115813,118515,"Sorry, Murph.
Go back to bed, babe."
14,118548,119817,I thought you were the ghost.
15,119850,120851,No.
16,122853,125155,"There are no such things
as ghosts, babe."
17,125189,126857,Grandpa says you can get ghosts.
18,128825,130636,"Yeah, maybe that's 'cause
Grandpa's a little too close"
19,130660,133630,"to being one himself.
Back to bed."
20,133663,135332,"Were you dreaming
about the crash?"
21,136934,138903,"Get your butt back in bed,
Murph. (LAUGHS)"
22,166262,167531,OLD MURPH: The wheat had died.
23,168632,170668,"The blight came
and we had to burn it."
24,171802,174638,"And we still had corn.
We had acres of corn."
25,174672,176607,"But, uh, mostly we had dust."
26,179610,180653,"OLD WOMAN 1:
I guess I can't describe it."
27,180677,182112,It was just constant.
28,182146,184414,Just that steady blow
29,184448,185816,of dirt.
30,188352,191454,"OLD WOMAN 2: We wore
little strips of sheet"
31,191488,194358,"sometimes over
our nose and mouth"
32,194391,196560,"so that we wouldn't breathe
so much of it."
33,198495,199539,"OLD MAN: Well,
when we set the table,"
34,199563,200897,we always set the plate
35,200931,202198,upside-down.
36,202232,204034,"Glasses or cups,
whatever it was,"
37,204068,205102,upside-down.
38,210707,213443,"Shake a leg!
Murph, get a move on!"
39,213477,215054,"COOPER: Tom, 4:00 today,
you and me in the barn,"
40,215078,216847,Herbicide Resistance 101.
41,216880,218582,"- Check?
- Yes, sir."
42,218615,219893,"- (INDISTINCT CHATTER ON RADIO)
- (DONALD HUMMING)"
43,219917,221185,"Not at the table, Murph."
44,222219,223854,"Dad, can you fix this?"
45,225789,227033,"COOPER: What the heck
did you do to my lander?"
46,227057,228425,Wasn't me.
47,228459,230492,"Let me guess.
It was your ghost?"
48,230527,231694,It knocked it off my shelf.
49,231728,233263,It keeps on knocking books off.
50,233296,234574,"TOM: No such thing as ghosts,
dumb-ass."
51,234598,235733,"- Hey.
- I looked it up."
52,235766,237034,It's called a poltergeist.
53,237067,238434,"Dad, tell her."
54,238469,240737,"Well, it's not
very scientific, Murph."
55,240771,243273,"You said science was about
admitting what we don't know."
56,243306,244746,"- She's got you there.
- COOPER: Hey."
57,245275,246710,Start looking after our stuff.
58,248245,249546,Coop.
59,252716,254517,"All right, Murph,
you want to talk science?"
60,255819,257596,"Don't just tell me that
you're afraid of some ghost."
61,257620,259255,"No, you got to go further."
62,259289,260700,"You got to record
the facts, analyze,"
63,260724,262392,"get to the how and the why,"
64,262426,265029,"then present your conclusions.
Deal?"
65,266063,267097,"- Deal.
- All right."
66,270200,271244,Y'all have a good day at school.
67,271268,272736,DONALD: Hold up.
68,272770,275238,"Parent-teacher conferences.
Parent."
69,275272,276841,Not grandparent.
70,277340,278576,(HONKING HORN)
71,279309,280977,"Slow down, turbo!"
72,282546,284314,That's not a dust storm.
73,284348,285628,"Nelson's torching
his whole crop."
74,285882,287451,Blight?
75,287485,289553,"They're saying it's
the last harvest for okra."
76,290254,291489,Ever.
77,293757,296526,"He should've planted corn
like the rest of us."
78,296560,297904,"Now, you be nice
to that Ms. Hanley."
79,297928,299296,She's single.
80,299329,300965,What's that supposed to mean?
81,300998,302365,Repopulating the Earth.
82,302399,304535,"Start pulling your weight,
young man."
83,304568,306804,"Well, why don't you start
minding your own business,"
84,306837,307905,old man.
85,315579,316914,"All right, Murph,
give me second."
86,318949,319950,Uh-huh.
87,320417,321751,Third.
88,322253,323553,(GEARS GRINDING)
89,323587,325322,"- Find a gear, dumb-ass.
- Grind it!"
90,325355,326422,"Shut it, Tom!"
91,326456,327590,(TIRE HISSING)
92,327624,328792,"What'd you do, Murph?"
93,328825,330160,"Aw, she didn't do nothin'."
94,330193,331428,Blew a tire is all.
95,331462,332663,Murphy's Law.
96,333396,334564,Shut up!
97,334597,335900,"Grab the spare, Tom."
98,335933,336967,That is the spare.
99,339469,340771,COOPER: Get the patch kit!
100,342472,344208,"TOM: How am I supposed
to patch it out here?"
101,344241,345709,"COOPER:
You got to figure it out."
102,345743,347343,"I'm not always gonna be here
to help you."
103,355852,358188,"What's going on, Murph?"
104,358222,361258,"Why did you and Mom name me
after something that's bad?"
105,361291,362560,"Well, we didn't."
106,363027,364261,Murphy's Law?
107,365795,370000,"Murphy's Law doesn't mean that
something bad will happen."
108,370033,373570,"What it means is whatever
can happen will happen."
109,373603,375673,"And that sounded
just fine with us."
110,380077,381078,Whoa!
111,382045,383180,Get in.
112,384714,386050,"Get in, let's go."
113,387550,388686,What about the flat tire?
114,388719,389920,(ENGINE STARTING)
115,392456,393823,Yeah.
116,407904,409473,It's an Indian Air Force drone.
117,409506,412142,"Solar cells could power
an entire farm."
118,412175,413310,"Take the wheel, Tom."
119,419116,420951,"Go, go, go!"
120,422219,423621,Keep that aimed right at it.
121,431695,433897,"Faster, Tom. I'm losing it."
122,434598,435833,Right at it.
123,437401,438402,Stay on it.
124,440203,441205,Here we go. Here we go.
125,443507,444708,Whoa!
126,450146,451649,"Nice one, Tom."
127,458121,460057,Dad?
128,460090,462426,"I almost got it.
Don't stop. Don't stop!"
129,463126,464128,Dad!
130,464427,465662,Tom!
131,470567,472369,"Why? You told me
to keep driving."
132,473670,475238,"Well, I guess that
answers the old,"
133,475271,477775,"""If I asked you to
drive off a cliff"" scenario."
134,481144,482479,We lost it.
135,482513,483814,"No, we didn't."
136,496693,498128,Want to give it a whirl?
