Number,StartMilliseconds,EndMilliseconds,Text
1,77160,80579,[INAUDIBLE DIALOGUE]
2,88046,90339,[DOGS BARKING]
3,116991,119076,"KLAUS:
Katie!"
4,119661,121245,Cora!
5,121454,123038,"MAN:
You love your sister?"
6,123248,125791,"You make any noise,
you know what happens."
7,129921,133632,[INDISTINCT TALKING ON RADIO]
8,145395,147312,[TURNS OFF RADIO]
9,149065,151275,[WATER RUNNING]
10,172255,173755,"Good morning, Estelle."
11,173965,177634,"OLD MAN: How am I looking, Paul?
- That's better. That's better."
12,182557,184683,[CHATTERING]
13,193526,195527,"HECTOR:
Morning, Mr. Edgecomb."
14,195695,196987,Some Danish this morning?
15,197197,200407,"No, just two pieces of dry toast,
Hector. Thanks."
16,200575,201950,Leftover's fine.
17,202160,205621,"- Dry and cold, same as always.
- Cold is better."
18,205997,207122,Hmm.
19,207290,209124,Especially on those long walks.
20,210627,211752,Am I right?
21,213296,216798,"Don't let Nurse Godzilla catch you.
She'll raise holy hell."
22,216966,219092,"We're not supposed to let you
wander off."
23,221971,226308,"Where do you go every day?
What do you do up in those hills?"
24,226768,228393,Just walk.
25,228978,230562,I like to walk.
26,233066,235067,"You try not to fall down, bust a hip."
27,235652,238362,"I don't wanna be in
no damn search party."
28,258466,260550,[THUNDER RUMBLES]
29,307890,310058,"WOMAN 1: You want this man
constantly in your life?"
30,310226,312227,Explain the moral basis of that.
31,312437,313520,"WOMAN 2:
I've made mistakes."
32,313730,315939,"Tony doesn't admit that
he's not a good father."
33,316107,319985,"She can't ask nothing. You can't
ask nothing. I have six kids myself."
34,321779,323697,Why do we always watch this stuff?
35,324490,325907,It's interesting.
36,326909,331288,"Interesting?
Bunch of inbred trailer trash?"
37,331497,334082,All they ever talk about is fucking.
38,334250,336084,"WOMAN 1:
- Ain't no way in this green earth..."
39,336252,337586,...l'd have a father like that.
40,337754,342466,"If what you saying is true...
No, I'm talking now. I'm talking now."
41,342633,344051,What kind of a mother are you?
42,344218,345761,"WOMAN 3:
One that causes people more..."
43,345928,348347,"MAN 1:
- Is going to let you try the bodystrider..."
44,348514,350265,You're dead! You can't come back!
45,350433,353769,"MAN 2:
It's back. The Popeil Pocket Fisherman."
46,353936,355854,"WOMAN 4:
Take my husband, take my kids..."
47,356022,359024,"- Are you all right?
- Hmm?"
48,359192,361693,You look tired. You're not yourself.
49,361903,364571,"No, I'm fine. I promise."
50,364947,368658,"You're wearing yourself out
with those walks every day, I think."
51,368868,370786,Not that you asked me.
52,371120,373955,"I just didn't sleep well, is all."
53,374957,378293,I had a few bad dreams. It happens.
54,378461,380128,I'll be fine.
55,381798,384508,[SINGING AND WHOOPING]
56,388679,391306,"If Madge doesn't care,
I certainly don't."
57,391474,392641,Neither do I.
58,393434,395477,"Now, this here is won'th a look."
59,397313,399189,"JERRY:
I'm in heaven"
60,400400,406154,"And my heart beats so
That I can hardly speak"
61,406823,408740,And I seem to find
62,408950,412661,The happiness I seek
63,413162,419334,"When we're out together
Dancing cheek to cheek"
64,420336,422170,Heaven
65,422755,425215,I'm in heaven
66,426134,428760,And the cares that hung around me
67,428970,431763,Through the week
68,432473,433723,Seem to vanish
69,433933,437018,Like a gambler's lucky streak
70,438020,439771,[PAUL SNIFFLES]
71,440898,442357,"Paul, what is it?"
72,443317,444609,[SOBBING]
73,444819,446194,My God.
74,451451,453743,I've got to get out of here.
75,464464,466590,[THUNDER CRASHES]
76,475725,479227,"I guess sometimes the past
just catches up with you..."
77,479395,482522,"...whether you want it to or not.
It's silly."
78,482899,486234,"Was it the film? It was, wasrt it?"
79,487487,491907,"I haven't spoken of these things
for a long time, Ellie."
80,492116,493533,Over 60 years.
81,493743,496536,"Paul, I'm your friend."
82,501083,504836,"I ever tell you that I was a prison guard
during the Depression?"
