Number,StartMilliseconds,EndMilliseconds,Text
1,158680,160557,Did you hear that?
2,160680,163319,"They shut down the main reactor.
We'll be destroyed for sure."
3,163440,164873,This is madness.
4,174560,175913,We're doomed.
5,178240,180356,"There'll be no escape
for the princess this time."
6,183600,184953,What's that?
7,283120,285475,"R2-D2, where are you?"
8,301400,303709,"At last.
Where have you been?"
9,303840,306798,"They're heading in this direction.
What are we going to do?"
10,306920,310230,"We'll be sent to the Kessel spice mines
or smashed into who knows what."
11,311360,313237,"Wait a minute.
Where are you going?"
12,325400,328233,"The Death Star plans
are not in the main computer."
13,328960,330871,"Where are those transmissions
you intercepted?"
14,331000,333673,"What have you done
with those plans?"
15,333800,335677,We intercepted no transmissions.
16,336640,340428,"This is a consular ship.
We're on a diplomatic mission."
17,340560,344917,"If this is a consular ship,
where is the ambassador?"
18,348280,351636,"Commander, tear this ship apart
until you've found those plans!"
19,351760,354513,"And bring me the passengers!
I want them alive!"
20,366560,367993,"There's one.
Set for stun."
21,373520,375078,She'll be all right.
22,375200,376997,Inform Lord Vader we have a prisoner.
23,378560,380915,"Hey. You're not permitted in there.
It's restricted."
24,381040,382871,You'll be deactivated for sure.
25,384800,387268,"Don't call me a mindless philosopher,
you overweight glob of grease."
26,387400,388958,"Come out,
before somebody sees you."
27,391280,393350,Secret mission? What plans?
28,393480,395914,"What are you talking about?
I'm not getting in there."
29,399200,401316,I'm going to regret this.
30,408200,411351,"- There goes another one.
- Hold your fire. There's no life forms."
31,411480,412708,It must have short-circuited.
32,412840,415991,"That's funny. The damage
doesn't look as bad from out here."
33,418280,420157,Are you sure this thing is safe?
34,438360,440715,"Darth Vader.
Only you could be so bold."
35,440840,443115,"The Imperial Senate will not
sit still for this."
36,443240,446357,"- You've attacked a diplomatic--
- Don't act so surprised, Your Highness."
37,446480,448277,"You weren't on
any mercy mission this time."
38,448400,452313,"Several transmissions
were beamed to this ship by rebel spies."
39,452440,455159,"I want to know what happened
to the plans they sent you."
40,455280,457191,"I don't know what
you're talking about."
41,457320,460153,"I'm a member of the Imperial Senate
on a diplomatic mission to Alderaan."
42,460280,462999,"You are part of the Rebel Alliance
and a traitor."
43,463120,464951,Take her away!
44,469160,471469,"Holding her is dangerous.
If word gets out..."
45,471600,474034,"it could generate sympathy
for the rebellion in the senate."
46,474160,476390,I have traced the rebel spies to her.
47,476520,479080,"Now she is my only link
to finding their secret base."
48,479200,480997,"She'll die before
she'll tell you anything."
49,481120,482678,Leave that to me.
50,482800,486110,"Send a distress signal, and then inform
the senate that all aboard were killed."
51,486240,489198,"Lord Vader, the battle station plans
are not aboard this ship..."
52,489320,490673,and no transmissions were made.
53,490800,494793,"An escape pod was jettisoned during the
fighting, but no life forms were aboard."
54,494920,497753,"She must have hidden
the plans in the escape pod."
55,497880,501270,"Send a detachment down to retrieve them.
See to it personally, Commander."
56,501400,503356,"There'll be no one
to stop us this time."
57,503480,504913,"Yes, sir."
58,518920,520876,How did we get into this mess?
59,521000,523230,I really don't know how.
60,523960,527032,"We seem to be made to suffer.
It's our lot in life."
61,529560,532996,"I've got to rest before I fall apart.
My joints are almost frozen."
62,539760,541671,What a desolate place this is.
63,545840,547717,Where do you think you're going?
64,547840,551276,"Well, I'm not going that way.
It's much too rocky."
65,551960,553757,This way is much easier.
66,553880,556155,"What makes you think
there are settlements over there?"
67,557880,559472,Don't get technical with me.
68,560800,562711,"What mission?
What are you talking about?"
69,564560,566949,I've just about had enough of you.
70,567680,568908,Go that way.
71,569040,571838,"You'll be malfunctioning within a day,
you nearsighted scrap pile."
72,572560,574994,"And don't let me catch you
following me, begging for help..."
73,575120,577156,because you won't get it.
74,589800,591392,No more adventures.
75,591520,593397,I'm not going that way.
76,625960,628758,"That malfunctioning little twerp.
This is all his fault."
77,629800,631870,"He tricked me
into going this way..."
78,632000,633797,but he'll do no better.
79,636960,638951,Wait. What's that?
80,639080,641674,A transport. I'm saved.
81,641800,643438,Over here!
82,643560,644595,Hey!
83,644720,646039,Hey!
84,646160,649436,Help! Please help!
85,851360,852236,R2?
86,856360,859750,"R2-D2, it is you! It is you!"
87,892000,895037,"Someone was in the pod.
The tracks go off in this direction."
88,896040,897871,"Look, sir. Droids."
89,911720,913199,We stopped.
90,913320,914958,Wake up. Wake up!
91,921680,923193,We're doomed.
92,931080,933116,"Do you think
they'll melt us down?"
93,945360,947351,"Don't shoot.
Don't shoot."
94,947480,949596,Will this never end?
95,987600,990034,"- Fine. Let's go.
- Luke!"
96,990160,991559,Luke!
97,994880,999715,"Luke, tell Uncle if he gets
a translator, be sure it speaks Bocce."
98,999840,1002195,"Doesn't look like we have
much choice, but I'll remind him."
99,1012920,1014990,"Yeah, we'll take that red one."
100,1015120,1016951,"No, not that one."
101,1018600,1021512,"I suppose you're programmed
for etiquette and protocol."
102,1021640,1025428,"Protocol? It's my primary function, sir.
I am well-versed in all the customs--"
103,1025560,1028711,"- I have no need for a protocol droid.
- Of course you haven't, sir."
104,1028840,1031434,"Not in an environment such as this.
That's why I have been programmed--"
105,1031560,1035394,"I need a droid who understands the
binary language of moisture vaporators."
106,1035520,1038637,"Vaporators? Sir, my first job
was programming binary load lifters..."
107,1038760,1039480,"very similar to your vaporators
in most respects."
108,1039480,1040799,"very similar to your vaporators
in most respects."
109,1040920,1044276,"-Can you speak Bocce?
-Of course. It's like a second language."
110,1044400,1046960,"-All right. Shut up. I'll take this one.
-Shutting up, sir."
111,1049840,1052400,"Take these two to the garage.
I want them cleaned up before dinner."
112,1052520,1055318,"But I was going into Tosche Station
to pick up some power converters."
113,1055440,1058318,"You can waste time with your friends
when your chores are done."
114,1058440,1060317,"Now come on.
Get to it."
115,1061360,1062475,All right. Come on.
116,1065120,1067190,"And the red one.
Come on."
117,1068200,1070589,"Come on, red. Let's go."
118,1088680,1090716,"- Uncle Owen.
- Yeah?"
119,1090840,1093434,"This R2 unit has
a bad motivator. Look."
120,1093560,1095835,"Hey, what are you
trying to push on us?"
121,1098760,1103470,"Excuse me, sir, but that R2 unit
is in prime condition, a real bargain."
122,1103600,1105397,"Uncle Owen,
what about that one?"
123,1105520,1107988,"What about that blue one?
We'll take that one."
124,1109240,1111959,"- Take this away.
- You'll be pleased with that one, sir."
125,1112080,1113877,He really is in first-class condition.
126,1114000,1115877,"I've worked with him before.
Here he comes."
127,1119960,1121359,Let's go.
128,1121480,1123038,Don't you forget this.
129,1123160,1126470,"Why I should stick my neck out for you
is quite beyond my capacity."
130,1132760,1135832,"Thank the maker.
This oil bath is going to feel so good."
131,1137320,1140710,"I've got such a bad case of dust
contamination I can barely move."
132,1140840,1142717,It just isn't fair.
133,1142840,1145115,"Biggs is right.
I'm never gonna get out of here."
134,1145800,1147597,"Is there anything
I might do to help?"
135,1147720,1150757,"No, not unless you can alter time,
speed up the harvest..."
136,1150880,1152438,or teleport me off this rock.
137,1152560,1154039,"I don't think so, sir."
138,1154160,1157596,"I'm only a droid and not very
knowledgeable about such things."
139,1157720,1158948,"Not on this planet, anyway."
140,1159080,1162311,"As a matter of fact,
I'm not even sure which planet I'm on."
141,1162440,1164670,"Well, if there's a bright centre
to the universe..."
142,1164800,1166677,"you're on the planet
that it's farthest from."
143,1166800,1168631,"I see, sir."
144,1169320,1171595,"- You can call me Luke.
- I see, Sir Luke."
145,1173000,1174353,Just Luke.
