Number,StartMilliseconds,EndMilliseconds,Text
1,125250,128470,"People are always ask me
if I know Tyler Durden."
2,128507,129463,Three minutes.
3,130042,130973,This is it.
4,131248,132374,Ground zero.
5,133042,135201,Do you have a speech for the occasion?
6,136669,139862,"With a gun barrel between your teeth,
you speak only in vowels."
7,139995,141409,I can't think of anything.
8,141573,145906,"For a second, I totally forget about
Tyler's controlled demolition thing"
9,145965,148125,and I wonder how clean that gun is.
10,148227,149486,It's getting exciting now.
11,150155,152866,"That old thing,
how you always hurt the one you love."
12,153346,154860,"Well, it works both ways."
13,155974,159395,"We have frontrow seats
for this theater of mass destruction."
14,160026,162534,"The Demolitions Committee
of Project Mayhem"
15,162559,165996,"wrapped the foundation columns
of a dozen buildings with blasting gelatin."
16,167101,169759,"And a few square blocks will be reduced
to smouldering rubble."
17,169784,172767,"And a few blocks will be reduced
to smouldering rubble."
18,173748,174683,I know this...
19,174973,176407,because Tyler knows this.
20,177004,177936,Two and a half.
21,178347,180406,Think of everything we have accomplished.
22,180448,183025,"And suddenly I realize that all of this,"
23,183049,185483,"the gun, the bombs, the revolution,"
24,186066,189070,"has got something to do
with a girl named Marla Singer."
25,191365,191909,Bob.
26,192623,193876,Bob had bitch tits.
27,194596,196090,"This was a support group,"
28,196115,198010,for men with testicular cancer.
29,198747,200834,"The big moosie slobbering all over me,"
30,200858,201982,that was Bob.
31,202402,203722,We are still men.
32,204352,205762,"Yes, we are men."
33,206194,208108,Men is what we are.
34,208360,210803,"Eight months ago,
Bob's testicles were removed."
35,211086,212533,Then hormone therapy.
36,213159,216340,"He developed bitch tits
because his testosterone was too high"
37,216365,217832,and his body upped the oestrogen.
38,218225,219541,Then now that was where I fit.
39,219543,222549,"I think they are gonna have to open up
my pecs again and drain the fluid."
40,222656,224469,"Between those huge, sweating tits"
41,224494,225984,"that hung enormous,"
42,226008,227924,the way you would think of God's as big.
43,228112,228904,Ok.
44,229228,230451,You cry now.
45,231604,233017,"No, wait. Back up."
46,233293,234390,Let me start earlier.
47,235244,236245,"For six months,"
48,236410,237564,I couldn't sleep.
49,237677,238757,I couldn't sleep...
50,238797,239924,I couldn't sleep...
51,240389,242217,"With insomnia, nothing is real."
52,243599,245090,Everything is far away.
53,245639,247089,"Everything is a copy,"
54,247415,248201,"of a copy,"
55,248331,249479,of a copy.
56,252899,255088,"When deepspace exploration ramps up,"
57,255113,257646,"it will be the corporations
that name everything."
58,258199,260119,The IBM Stellar Sphere.
59,260659,262489,The Microsoft Galaxy.
60,262949,264489,The Planet Starbucks.
61,265508,267104,"I need you out of town
a little more this week."
62,267128,268469,We have got some red flags to cover.
63,268522,269903,It must have been Tuesday.
64,269927,272122,He was wearing his cornflower blue tie.
65,272162,274908,"You want me to deprioritise my current reports,
Yep."
66,274932,276863,Until you advise of a status upgrade?
67,276888,278370,Make these your primary action items.
68,278825,279788,Here is your flight coupons.
69,279812,281259,Call me from the road if there is any snags.
70,281438,282666,He was full of pep.
71,283257,285347,Must have had his grande latte enema.
72,287567,290090,"Like so many others,
I had become a slave,"
73,290260,292112,to the Ikea nesting instinct.
74,292137,293552,"Good morning.
Yes."
75,293576,296557,I would like to order Erika Pekkari dust ruffles.
76,296581,297349,Please hold.
77,297422,300296,"If I saw something clever,
like a little coffee table"
78,300321,302007,"in the shape of a yinyang,"
79,302033,303269,I had to have it.
80,304267,306421,The Klipsk personal office unit.
81,306747,308966,The Hovetrekke home Exerbike.
82,309413,312959,"Or the Ohamshab sofa
with the Strinne green stripe pattern."
83,313592,315407,Even the Ryslampa wire lamps
84,315431,318045,"of environmentally
friendly unbleached paper."
85,318592,320499,I'd flip through catalogues and wonder
86,320605,323599,"What kind of dining set
defines me as a person?"
87,324559,325959,I had it all.
88,325983,329208,"Even the glass dishes
with tiny bubbles and imperfections,"
89,329404,331720,"proof that they were
crafted by the honest,"
90,331745,333193,"simple hardworking,"
91,333217,334970,"indigenous peoples of...
Please hold."
92,334995,335839,Wherever.
93,335864,336887,I was holding.
94,336911,338279,Your call is important to us.
95,338495,340199,We used to read pornography.
96,340368,342199,Now it was the Horchow collection.
97,342392,342893,No.
98,343172,345145,You can't die from insomnia.
99,345235,346865,What about narcolepsy?
100,347252,351412,"I nod off, I wake up in strange places.
I have no idea how I got there."
101,351578,353195,You need to lighten up.
102,353219,355339,Can you please just give me something?
103,355525,356949,"Red and blue Tuinals,"
104,356973,358703,lipstickred Seconals...
105,359049,359701,No.
106,360436,362339,"You need healthy, natural sleep."
107,363089,366708,"Chew some valerian root
and get more exercise."
108,369559,370754,"Hey, come on."
109,370778,372005,I am in pain.
110,372268,373559,You wanna see pain?
111,373649,376134,"Swing by First Methodist, Tuesday nights."
112,376158,378439,See the guys with testicular cancer.
113,379106,380093,That's pain.
114,396289,398073,I always wanted three kids.
115,399008,400262,Two boys and a girl.
116,400919,403379,Mindy wanted two girls and a boy.
117,403969,405880,We never could agree on anything.
118,407906,408876,"Well, she had..."
119,409339,411156,she had her first child last week...
120,411939,412832,a girl.
121,414729,415716,With her...
122,416039,417173,with her new husband.
123,421645,422893,And thank God. You know?
124,424162,425602,I. I am glad for her.
125,427378,429995,Bec... because she deserves it.
126,434079,437250,"Everyone, let's thank Thomas
for sharing himself with us."
127,437742,439157,"Thank you, Thomas."
128,439915,442957,"I look around this room,
and I see a lot of courage."
129,443404,445048,And that gives me strength.
130,445588,447228,We give each other strength.
131,447944,449484,It's time for the one on ones.
132,449509,452762,"So let's all of us follow
Thomas good example and..."
133,453007,454568,really open ourselves up.
134,455212,456581,Could you find a partner?
135,459809,461949,And this is how I met the big moosie.
136,463811,466256,His eyes already shrinkwrapped in tears.
137,469235,470812,Knees together.
138,470982,472567,Those awkward little steps.
139,478032,479798,"My name is Bob.
Bob?"
140,480864,482931,Bob had been a champion body builder.
141,483324,486431,"You know that chest expansion
program you see on late night TV?"
142,486784,488154,That was his idea.
143,488386,489479,I was a juicer.
144,490662,492752,"You know, using steroids."
145,494059,495504,Diabonal and...
146,496931,497859,Wisterol.
147,498752,501252,"They use that on racehorses,
for Christ is sakes."
148,502855,503679,And now I am...
149,504349,505180,bankrupt...
150,505784,506864,"I am divorced,"
151,508569,509893,"my two grown kids,"
152,511757,513686,won't even return my phone calls.
153,514948,518513,"Strangers with this kind of honesty
make me go a big, rubbery one."
154,521629,522531,Go ahead...
155,522795,523624,Cornelius.
156,524775,525815,You can cry.
157,540939,542134,And then...
158,542158,543427,something happened.
159,544379,546012,"I let go.
That's really good."
160,547039,548259,Lost in oblivion.
161,549249,551499,Dark and silent and complete.
162,553805,555029,I found freedom.
163,556039,558460,Losing all hope was freedom.
164,560329,561253,It's ok.
165,565155,566835,Babies don't sleep this well.
166,570469,572875,I became addicted.
167,586855,588305,"If I didn't say anything,"
168,589261,591289,people always assumed the worst.
169,595442,596669,They cried harder...
170,597699,598949,then I cried harder.
171,607669,610327,"Now we are going to open the green door,"
172,610444,611972,the heart chakra...
173,612139,613822,I was not really dying.
174,614469,617037,I was not host to cancer or parasites.
175,618181,622150,"I was the warm little centre
that the life of this world crowded around."
176,622519,624174,"Imagine your pain,"
177,624384,626705,as a white ball of healing light.
178,627582,630662,"It moves over your body, healing you."
179,631379,632891,Now keep this going.
180,632915,634169,Remember to breathe.
181,634409,637699,"And step forward
through the back door of the room."
182,638699,640062,Where does it lead?
183,640955,642585,To your cave.
184,643169,646419,Step forward into your cave.
185,647379,648839,That's right.
186,649209,652509,"You are going deeper into your cave,"
187,653049,655038,and you are going to find...
188,655735,657575,your power animal.
189,660099,661479,Slide.
190,672445,674219,Every evening I died.
191,675582,677918,And every evening I was born again.
192,678739,679835,Resurrected.
193,682909,686422,"Bob loved me because he thought
my testicles were removed too."
194,687079,688321,"Being there,"
195,688625,690282,"pressed against his tits,"
196,690439,691682,ready to cry.
197,692129,693859,This was my vacation.
198,697929,699040,And she...
199,699442,701599,ruined everything.
200,701679,703122,"This is cancer, right?"
201,706939,708966,"This chick, Marla Singer,"
202,708991,711109,did not have testicular cancer.
203,711689,713066,She was a liar.
204,713439,715523,She had no diseases at all.
205,716170,717851,"I had seen her at Free and Clear,"
206,717875,719909,"my blood parasites group, Thursdays."
207,719989,721021,"Then at Hope,"
208,721212,723286,my bimonthly sicklecell circle.
209,724079,725984,"And again at Seize the Day,"
210,726194,728015,"my tuberculosis, Friday night."
211,731129,732157,"Marla,"
212,732589,734099,the big tourist.
213,734629,736789,Her lie reflected my lie.
214,737129,738246,"And suddenly,"
215,738270,739719,I felt nothing.
216,739799,741249,I couldn't cry.
217,741742,743168,"So once again,"
218,743418,744655,I couldn't sleep.
219,756819,757807,"Next group,"
220,758010,759498,"after guided meditation,"
221,759804,761645,"after we open our heart chakras,"
222,761669,762917,"when it's time to hug,"
223,763017,765749,"I'm gonna grab that bitch Marla Singer
and scream"
224,765829,767234,"Marla, you liar!"
225,767258,769895,"You big tourist! I need this! Now, get out!"
226,771709,773829,I hadn't slept in four days.
227,776085,778582,"When you have insomnia,
you are never really asleep"
228,779719,781441,and you are never really awake.
229,784269,786127,"To begin tonight's communion,"
230,786151,788349,Chloe would like to say a few words.
231,789479,790548,"Oh, yeah."
232,791072,791842,Chloe.
233,793185,795507,"Chloe looked the way
Meryl Streep is skeleton would look"
234,795532,799245,"if you made it smile and walk around
a party being extra nice to everybody."
235,800115,801572,"Well, I am still here."
236,802636,804482,But I don't know for how long.
237,805652,808122,"That's as much certainty
as anyone can give me."
238,809415,811089,But I have got some good news.
239,812038,814348,I no longer have any fear of death.
240,818299,818994,But...
241,819266,822012,I am in a pretty lonely place.
242,823279,825406,No one will have sex with me.
243,826830,827870,"I am so close to the end,"
244,827895,830205,"and all I want is to get laid for
the last time."
245,831903,835135,"I have pornographic movies
in my apartment and..."
246,835232,838009,"lubricants and amyl nitrite.
Thank you, Chloe."
247,838989,840098,Everyone let's...
248,840368,841355,thank Chloe.
249,842009,844069,"Thank you, Chloe."
250,846289,847564,Now let's...
251,848080,849995,ready ourself for guided meditation.
252,852249,854830,"You are standing at the entrance
of your cave."
253,855799,859009,You step inside your cave and you walk...
254,859259,860827,"if I did have a tumour,"
255,861317,862777,I'd name it Marla.
256,863759,864688,Marla.
257,865261,867354,"The little scratch on the roof
of your mouth"
258,867379,869794,"that would heal if you could stop
tonguing it,"
259,870013,870897,but you can't.
260,870922,874302,Deeper into your cave as you walk.
261,875968,879298,"You feel the healing energy of
this place all around you."
262,881029,883109,Now find your power animal.
263,887492,888644,Slide.
264,892949,893693,Ok.
265,893969,895482,Let's partner up.
266,895922,898249,Pick someone special to you tonight.
267,904469,905264,Hey.
268,907122,909042,"We need to talk.
Sure."
269,914189,915215,I am onto you.
270,915487,917092,"What?
Yeah."
271,917116,919289,You are a faker. You are not dying.
272,920150,920899,Sorry?
273,920924,922545,"In the Tibetan philosophy,"
274,922569,925504,"Sylvia Plath sense, I know we are all dying."
275,925659,928052,"Alright, but you are not dying
the way Chloe back there is dying."
276,929489,930265,So?
277,931249,932672,So you are a tourist.
278,933459,934567,I have seen you.
279,934591,936486,"I saw you at melanoma,"
280,936789,938028,I saw you at tuberculosis.
281,938053,940069,I saw you at testicular cancer!
282,940094,941539,I saw you practising this.
283,942349,944069,"Practising what?
Telling me off."
284,944545,946371,Is it going as well as you hoped...
285,946921,947735,Rupert?
286,948914,949833,I will expose you.
287,949857,951540,Go ahead. I will expose you.
288,951849,954995,"Alright, come together.
Let yourselves cry."
289,962859,964505,"Oh, God. Why are you doing this?"
290,964764,967072,"It's cheaper than a movie
and there is free coffee's."
291,967199,968101,Look...
292,968459,970103,this is important. Ok.
293,970127,971132,These are my groups.
294,971157,973011,I have been coming for over a year.
295,973199,974357,Why do you do it?
296,975207,976209,I don't know.
297,976344,980184,"When people think you are dying, then they
really really listen to you instead of just..."
298,980209,982622,Instead of waiting for their turn to speak.
299,984502,985285,Yeah.
300,986222,986956,Yeah.
301,987772,990352,"Share yourself, completely."
302,991639,994465,"Look, you don't want to get into this.
It becomes an addiction."
303,994565,995420,Really?
304,996138,997964,"I am not kidding. I can't cry,"
305,997988,1000149,"if another faker is present,
and I need this."
306,1000229,1002195,So you gotta find somewhere else to go.
307,1003092,1004554,Candystripe a cancer ward.
308,1004578,1005852,It's not my problem.
309,1008989,1010018,"Wait, wait, wait."
310,1010815,1012015,Hold on. Hold on. I will tell you.
311,1012075,1013730,"We are gonna split up the week, ok?"
312,1013754,1015804,You take lymphoma and tuberculosis.
313,1015829,1018499,"You take tuberculosis.
My smoking doesn't go over at all."
314,1018579,1020111,Ok. Good. Fine.
315,1020135,1022255,"Testicular cancer should be no contest, ok."
316,1022335,1024991,"Technically, I have more
right to be there than you."
317,1025015,1026129,You still have your balls.
318,1026219,1027827,"You are kidding.
I don't know."
319,1027851,1028589,Am I?
320,1029016,1030129,No. No.
321,1030205,1031581,What do you want?
322,1031956,1033125,I will take the parasites.
323,1033509,1036469,"You can't have both the parasites, but
why don't you take the blood parasites."
324,1036496,1037679,I want brain parasites.
325,1037769,1041060,"I will take the blood parasites, but
I am gonna take the organic brain dementia."
326,1041085,1042008,I want that.
327,1042032,1043608,You can't have the whole brain.
328,1043642,1044719,"So far, you have four."
329,1044743,1046029,I only have two.
330,1046278,1046804,Ok.
331,1047511,1049865,Take both the parasites. they are yours.
332,1050319,1051805,Now we both have three...
333,1056068,1058069,Hey! You left half your clothes.
334,1074559,1076584,"What, are you selling those?
Yes,"
335,1076608,1078158,I am selling some clothes.
336,1078765,1079462,"So,"
337,1079892,1080957,we each have three. That's six.
338,1080982,1083229,"What about the seventh day?
I want ascending bowel cancer."
339,1083309,1085309,The girl had done her homework.
340,1085648,1086844,No. No. I want...
341,1087128,1088304,I want bowel cancer.
342,1089142,1090502,That's your favourite too?
343,1090859,1092517,Tried to slip it by me?
344,1093119,1094489,"Look, we are gonna split it. Ok?"
345,1094869,1096805,"Take the first and third Sunday
of the month."
346,1100119,1100926,Deal.
347,1103959,1105363,Looks like this is goodbye.
348,1105680,1107880,"Well, let's not make
a big thing out of it, ok."
349,1107935,1109633,How is this for not making a big thing?
350,1114799,1115915,"Hey, Marla!"
351,1116312,1117245,Marla!
352,1119115,1120877,Maybe we should exchange numbers.
353,1121432,1122535,Should we?
354,1122599,1124267,We might wanna switch nights.
355,1126218,1126934,Ok.
356,1132659,1134557,This is how I met Marla Singer.
357,1136492,1139991,"Marla's philosophy of life
is that she might die at any moment."
358,1140449,1141941,"The tragedy she said,"
359,1141965,1142999,was that she didn't.
360,1143134,1145288,"It doesn't have your name!
Who are you?"
361,1145588,1146779,Cornelius?
362,1146803,1147780,Rupert?
363,1147804,1148582,Travis?
364,1148879,1151213,"Any of the stupid names
you give each night?"
365,1154792,1156433,You wake up at SeaTac.
366,1157259,1158333,SFO.
367,1158803,1160019,LAX.
368,1160809,1162295,You wake up at O'Hare.
369,1162798,1164047,Dallas Fort Worth.
370,1164358,1165564,BWI.
371,1166150,1168259,Pacific. Mountain. Central.
372,1168504,1170324,Lose an hour. Gain an hour.
373,1170384,1173420,"Check in for that flight
doesn't begin for another two hours, sir."
374,1173605,1174557,"This is your life,"
375,1174581,1176800,"and it's ending one
minute at a time."
376,1177919,1180024,You wake up at Air Harbour International.
377,1181779,1183688,"If you wake up at a different time,"
378,1183991,1185164,"in a different place,"
379,1185789,1187885,could you wake up as a different person?
380,1189549,1191115,"Everywhere I travel,"
381,1191185,1192294,tiny life.
382,1192933,1194458,"Single serving sugar,"
383,1194674,1195995,"single serving cream,"
384,1196112,1197522,single pat of butter.
385,1198219,1200598,The microwave cordon bleu hobby kit.
386,1201151,1202627,Shampoo conditioner combos.
387,1203017,1204545,Sample package mouth wash.
388,1204749,1205997,Tiny bars of soap.
389,1208364,1210176,"The people I meet on each flight,"
390,1210733,1212365,they're single serving friends.
391,1213785,1216391,"Between take off and landing,
we have our time together,"
392,1216594,1217785,but that's all we get.
393,1219199,1220449,Welcome!
394,1222619,1223962,"On a long enough time line,"
395,1223987,1226622,"the survival rate for
everyone drops to zero."
396,1227362,1228820,I was a recall coordinator.
397,1228882,1230919,My job was to apply the formula.
398,1231141,1234377,"The infant went through the windshield.
Three points."
399,1234402,1238142,"A new car built by my company
leaves somewhere travelling at 60mph."
400,1238505,1240319,The rear differential locks up.
401,1240719,1243599,"The teenager's braces
are wrapped around the backseat ashtray."
402,1243679,1245889,Might make a good antismoking ad.
403,1245979,1248849,"The car crashes and burns
with everyone trapped inside."
404,1248939,1249696,"Now,"
405,1249914,1251554,should we initiate a recall?
406,1251801,1253216,The father must have been huge.
407,1253241,1256412,"See where the fat is burned to the seat?
The polyester shirt?"
408,1257082,1258782,Very modern art.
409,1259178,1261754,Take the number of vehicles in the field. A.
410,1261779,1264665,Multiply it by the probable rate of failure. B.
411,1264765,1268152,"Then multiply the result by
the average outofcourt settlement. C."
412,1268329,1270854,A x B x C...
413,1270879,1272041,equals X.
414,1272647,1273531,"If X,"
415,1273555,1275509,"is less than the cost of a recall,"
416,1275925,1277191,we don't do one.
417,1278299,1280885,Are there a lot of these kinds of accidents?
418,1281096,1282572,You would not believe.
419,1284559,1286632,Which car company do you work for?
420,1287979,1289349,A major one.
421,1292019,1295479,"Every time the plane banked too sharply
on take off or landing,"
422,1295569,1297221,"I prayed for a crash,"
423,1297522,1299069,or a midair collision.
424,1299149,1300269,Anything.
425,1310209,1313429,"Life insurance pays off triple
if you die on a business trip."
426,1316822,1319202,"If you are seated
in an emergency exit row,"
427,1319429,1320202,"you know,"
428,1321009,1325262,"and feel you would be unable or unwilling
to perform the duties listed on the safety card,"
429,1325849,1328462,"please ask a flight attendant
to reseat you."
430,1330139,1331839,It's a lot of responsibility.
431,1333108,1334359,You want switch seats?
432,1334439,1337405,"No. I am not sure
I am the man for that particular job."
433,1338176,1340452,"An exit door procedure at 30,000 feet."
434,1342739,1344210,The illusion of safety.
435,1345206,1346866,Yeah. I guess so.
436,1347619,1349937,"You know why
they put oxygen masks on planes?"
437,1350539,1351818,So you can breathe.
438,1352461,1354485,Oxygen gets you high.
439,1355599,1359069,"In a catastrophic emergency,
you are taking giant panic breaths."
440,1359259,1360952,"Suddenly you become euphoric,"
441,1361096,1361953,docile.
442,1362057,1363288,You accept your fate.
443,1364599,1365898,It's alright here.
444,1367498,1370018,"Emergency water landing, 600mph."
445,1370191,1372791,Blank faces. Calm as Hindu cows.
446,1373599,1374738,That's...
447,1376448,1378085,That's an interesting theory.
448,1380899,1381848,What do you do?
449,1382198,1383125,What do you mean?
450,1383529,1384949,What do you do for a living?
451,1385029,1385768,Why?
452,1386479,1388155,So you can pretend like you are interested?
453,1391662,1392249,Ok.
454,1392369,1394753,"You have a kind of sick desperation
in your laugh."
455,1398669,1400501,We have the exact same briefcase.
456,1402219,1403001,Soap.
457,1403588,1404245,Sorry?
458,1404707,1406661,I make and I sell soap.
459,1407687,1409293,The yardstick of civilization.
460,1410513,1411980,And this is how I met...
461,1412398,1413447,Tyler Durden.
462,1414229,1416254,Did you know if you mixed equal parts of gasoline
463,1416279,1418713,"and frozen orange juice concentrate,
you can make napalm?"
464,1419649,1422319,"No, I did not know that. Is that true?
That's right."
465,1422399,1425859,"One can make all kinds of explosives
using simple household items."
466,1426069,1426893,Really?
467,1426917,1428362,If one were so inclined.
468,1433829,1435318,"Tyler, you are by far..."
469,1435468,1438395,"the most interesting single serving friend
I have ever met."
470,1440379,1441324,"See everything,"
471,1441348,1443047,everything on a plane is single serving.
472,1443211,1444759,I get it. It's very clever.
473,1445219,1446132,Thank you.
474,1447589,1448875,How is that working out for you?
475,1449422,1451172,"What?
Being clever."
476,1452809,1453635,Great.
477,1454749,1455546,"Keep it up, then."
478,1456234,1457342,Keep it right up.
479,1459317,1460357,"Now, a question of etiquette."
480,1460382,1462812,"As I pass, do I give you the ass or the crotch?"
481,1470724,1472820,How I came to live with Tyler is...
482,1473246,1476692,"Airlines have this policy
about vibrating luggage."
483,1484719,1486219,Was it ticking?
484,1486299,1489589,"Actually, throwers don't worry about
ticking because modern bombs don't tick."
485,1489679,1491040,Sorry. Throwers?
486,1491264,1492509,Baggage handlers.
487,1493559,1495628,"But when a suitcase vibrates,"
488,1496092,1497706,then the throwers got to call the police.
489,1497965,1499173,My suitcase...
490,1499864,1500740,was vibrating?
491,1500765,1503219,"Nine times out of ten
it's an electric razor, but..."
492,1504505,1505992,every once in a while...
493,1508909,1510085,it's a dildo.
494,1511805,1514078,Of course it's company policy never to...
495,1514185,1516094,imply ownership in the event of a dildo.
496,1516119,1517817,"We have to use the indefinite article,"
497,1517841,1519193,a dildo never...
498,1520141,1521841,your dildo.
499,1521955,1523467,I don't own...
500,1526907,1528828,I had everything in that suitcase.
501,1529071,1530371,My CK shirts.
502,1530568,1532039,My DKNY shoes.
503,1532395,1533808,My AX ties.
504,1535179,1536179,Never mind.
505,1538809,1541439,Hey! That's my car!
506,1548615,1551628,"Home was a condo on
the 15th floor of a filing cabinet"
507,1551715,1553508,for widows and young professionals.
508,1553829,1555829,The walls were solid concrete.
509,1556069,1557648,"A foot of concrete is important,"
510,1557672,1559652,"when your next door neighbour
lets her hearing aid go"
511,1559677,1562029,"and has to watch game shows
at full volume."
512,1562209,1564238,Or when a volcanic blast
513,1564262,1566841,"and debris that used to be
your furniture and personal effects"
514,1566888,1570379,"blows out of your floor to ceiling windows
and sails flaming into the night."
515,1576996,1578916,I suppose these things happen.
516,1592029,1594035,There is nothing up there.
517,1594239,1596353,You can't go into the unit.
518,1596423,1597535,Police orders.
519,1606568,1608429,Do you have somebody you can call?
520,1609549,1611160,How embarrassing.
521,1611644,1614030,"A houseful of
condiments and no food."
522,1624229,1627281,"The police would later tell me that
the pilot light might have gone out,"
523,1628302,1630282,letting out just a little bit of gas.
524,1631262,1633609,"That gas could have
slowly filled the condo,"
525,1633879,1636414,"1700 square feet with high ceilings,"
526,1636439,1637592,for days and days.
527,1645553,1648247,"Then the refrigerator's compressor
could have clicked on."
528,1651262,1651985,Yeah?
529,1655219,1656871,"I can hear you breathing, you..."
530,1667462,1670225,"if you ask me now,
I couldn't tell you why I called him."
531,1713399,1714346,Hello?
532,1714530,1715492,Who is this?
533,1717359,1718142,Tyler?
534,1719478,1720379,Who is this?
535,1721799,1723265,We met... We met on the airplane.
536,1724096,1725385,We had the same suitcase.
537,1726699,1728152,The... the clever guy.
538,1729772,1730776,"Oh, yeah. Right."
539,1732251,1734325,"Ok.
I called a second ago."
540,1734630,1736760,There was no answer. I am at a payphone.
541,1736785,1739111,"Yeah, I star 69 you.
I never pick up my phone."
542,1742139,1743125,So what is up?
543,1745272,1745938,Well...
544,1747365,1748678,You are not gonna believe this.
545,1751899,1753519,"You know man, it could be worse."
546,1753829,1755930,"A woman could cut off
your penis while you sleeping,"
547,1755954,1757855,and toss it out the window of a moving car.
548,1758815,1759949,There is always that.
549,1760819,1761810,And now it's just...
550,1761878,1763905,"when you buy furniture,
you tell yourself"
551,1763982,1766339,"That's it. That's the last sofa
I will gonna need."
552,1766425,1767608,"Whatever else happens,"
553,1767918,1769718,I have got that sofa problem handled.
554,1770129,1773495,"I had it all.
I had a stereo that was very decent."
555,1773549,1776089,"A wardrobe that was
getting very respectable."
556,1776502,1777534,I was close...
557,1777695,1778984,to being complete.
558,1779009,1780746,"Shit man, and now it's all gone."
559,1781036,1782355,All gone.
560,1783108,1784115,All gone.
561,1786615,1788088,Do you know what a duvet is?
562,1789139,1790089,It's a comforter.
563,1790113,1792359,It's a blanket. Just a blanket.
564,1792744,1795164,"Why do guys like us
know what a duvet is?"
565,1795249,1797388,"Is this essential to our survival,"
566,1797412,1799359,in the hunter-gatherer sense of the word?
567,1799609,1800482,No.
568,1801535,1802476,"What are we, then?"
569,1803361,1804478,I don't know.
570,1804502,1805705,Consumers.
571,1805730,1806894,Right.
572,1807247,1809900,"We are consumers.
We are by products of a..."
573,1809924,1811317,lifestyle obsession.
574,1812204,1815330,"Murder, crime, poverty.
These things don't concern me."
575,1815468,1816865,"What concerns me,"
576,1817389,1818798,"are celebrity magazines,"
577,1818879,1821368,"television with 500 channels,"
578,1821400,1823073,some guy's name on my underwear.
579,1823253,1824790,Rogaine. Viagra.
580,1824973,1825879,Olestra.
581,1825918,1827042,Martha Stewart.
582,1827191,1828386,Fuck Martha Stewart.
583,1828889,1831088,"Martha's polishing
the brass on the Titanic."
584,1831112,1832439,"It's all going down, man."
585,1832778,1834258,So fuck off with your...
586,1834378,1836729,sofa units and Strinne green stripe patterns.
587,1837152,1839452,I say never be complete.
588,1839571,1841368,I say stop being perfect.
589,1841992,1844032,I say let's... let's evolve.
590,1844218,1845772,Let the chips fall where they may.
591,1848579,1850858,"But that's me, and I could be wrong."
592,1850882,1852499,Maybe it's a terrible tragedy.
593,1852579,1853986,It's just stuff.
594,1854445,1855987,"It's not a tragedy.
Well,"
595,1856074,1859007,"you did lose a lot of versatile solutions
for modern living."
596,1859575,1861754,"Fuck, you are right. No, I don't smoke."
597,1865599,1868426,"My insurance is probably
gonna cover it, so..."
