Number,StartMilliseconds,EndMilliseconds,Text
119,885648,890274,"- Do you know Florence?
- All that detail just from memory, sir?"
120,890402,894447,"Memory, Agent Starling,
is what I have instead of a view."
121,894573,900446,"Well, perhaps you'd care to lend us
your view on this questionnaire, sir."
122,900579,903283,"Oh, no, no, no, no."
123,903414,908290,"You were doing fine. You had been
courteous and receptive to courtesy."
124,908419,912879,"You had established trust, with
the embarrassing truth about Miggs."
125,913006,917751,"And now this ham-handed segue
into your questionnaire."
126,919012,922546,"- It won't do.
- I'm only asking you to look at this."
127,922681,924721,Either you will or you won't.
128,924850,928634,"Yeah. Jack Crawford
must be very busy indeed"
129,928771,931558,"if he's recruiting help
from the student body."
130,931690,934477,Busy hunting that new one: Buffalo Bill.
131,934610,936850,What a naughty boy he is.
132,937277,940527,Do you know why he's called Buffalo Bill?
133,940655,944071,"Please tell me.
The newspapers won't say."
134,945160,947781,"It started as a bad joke
in Kansas City Homicide."
135,947913,952005,"They said
""This one likes to skin his humps."""
136,953262,958719,"Why do you think he removes
their skins, Agent Starling?"
137,958851,961093,Thrill me with your acumen.
138,961811,967316,"It excites him. Most serial killers keep
some sort of trophies from their victims."
139,967442,971521,"- I didn't.
- No. No, you ate yours."
140,974281,976320,You send that through now.
141,1003433,1008426,"Oh, Agent Starling, you think you can
dissect me with this blunt little tool?"
142,1008562,1011516,No. I thought that your knowledge...
143,1011648,1013890,"You're so ambitious, aren't you?"
144,1014276,1017894,"Do you know what you look like, with
your good bag and your cheap shoes?"
145,1018029,1020105,You look like a rube.
146,1020240,1024319,"A well-scrubbed, hustling rube,
with a little taste."
147,1025160,1027449,"Good nutrition's given you length of bone,"
148,1027579,1032822,"but you're not more than one generation
from poor white trash, are you?"
149,1032960,1037953,"And that accent you've tried so
desperately to shed: Pure West Virginia."
150,1038089,1042252,"What is your father, dear? Is he
a coal miner? Does he stink of the lamp?"
151,1042385,1045136,How quickly the boys found you.
152,1045263,1048880,"All those tedious, sticky fumblings
in the back seats of cars,"
153,1049015,1052527,"while you could only dream of
getting out, getting anywhere,"
154,1052656,1056818,getting all the way to the FBI.
155,1059703,1062539,"You see a lot, Doctor."
156,1062665,1068750,"But are you strong enough to point
that high-powered perception at yourself?"
157,1068879,1074547,"What about it? Why don't you look at
yourself and write down what you see?"
158,1074675,1077130,Or maybe you're afraid to.
159,1086061,1089061,A census taker once tried to test me.
160,1089188,1092473,I ate his liver with some fava beans
161,1092608,1095063,and a nice Chianti.
162,1103702,1106868,"You fly back to school now, little Starling."
163,1106996,1108574,"Fly, fly, fly."
164,1123720,1127800,I bit my wrist so I can die.
165,1129142,1131181,Look at the blood!
166,1131310,1135224,"- Got ya!
- Miggs, you stupid fuck!"
167,1138065,1141065,"- I'm gonna kill him!
- Agent Starling! Come back!"
168,1141193,1145107,"Agent Starling! Agent Starling!
I would not have had that happen to you."
169,1145238,1148275,"- Discourtesy is unspeakably ugly.
- Then do this test."
170,1148408,1151540,"No, but I'll give you a chance
for what you love most."
171,1151673,1154508,"- And what is that?
- Advancement. Listen carefully."
172,1154634,1157255,"Look deep within yourself,
Clarice Starling."
173,1157386,1161254,"Go seek out Miss Mofet,
an old patient of mine. M-O-F-E-T."
174,1161390,1166597,"I don't think Miggs could manage again
so soon, even though he is crazy. Go!"
175,1208515,1210554,"Hey, Bill."
176,1214396,1216851,"- Daddy!
- Hey, Clarice."
177,1220443,1225650,"- Did you get any bad guys today, Daddy?
- No, angel. They all got away today."
178,1246008,1248250,FBI. Hands up. Don't move.
179,1248386,1252347,"Turn around.
Hands behind your back. Thumbs up."
180,1255780,1258234,"You're dead, Starling."
181,1258365,1262493,"Johnson, good entry, good command.
Starling, where's your danger area?"
182,1262619,1264030,"- The corner.
- Did you check?"
183,1264162,1265870,"- No.
- That's why you're dead."
184,1266164,1268240,3109.
185,1268375,1271624,3109. Breaking doors or windows
186,1271752,1274586,to enter or exit.
187,1274712,1276088,Rule 404.
188,1294981,1299144,"- Clarice, phone. It's the guru.
- Crawford? Thanks, Ardelia."
189,1299485,1302106,"- Starling?
- Sir?"
190,1302237,1304645,Miggs is dead.
191,1304782,1306525,Dead?
192,1306658,1308116,How?
193,1308242,1311777,"They heard Lecter whispering to him
all afternoon and Miggs crying."
194,1311913,1316075,"They found him at bed check.
He'd swallowed his own tongue."
195,1317542,1320876,"- Starling?
- Yeah. I'm still here, sir."
196,1321004,1324170,I just... I don't know how to feel about this.
197,1324757,1329300,"You don't have to feel any way about it.
Lecter did it to amuse himself."
198,1329428,1335181,"Look, I know it got ugly today, but
you mentioned a name at the end: Mofet."
199,1335309,1337763,Any follow-up on her?
200,1337894,1341178,"Lecter altered or destroyed
most of his patients' histories,"
201,1341313,1344812,"so there's no record
of anyone named Mofet, but"
202,1344941,1349188,"I thought the ""yourself"" reference
was too hokey for Lecter,"
203,1349321,1353377,"so I figured he's from Baltimore
and I looked in the phone book"
204,1353503,1359505,"and there's a ""Your Self"" storage facility
right outside of downtown Baltimore, sir."
205,1361927,1367633,"Unit 31 was leased for ten years,
pre-paid in full."
206,1367766,1372761,"The contract is in the name
of a Miss Hester Mofet."
207,1373981,1376518,So nobody's been in here since 1980?
208,1376649,1378938,Not to my knowledge.
209,1379068,1382852,"Privacy is a great concern
to my customers."
210,1383614,1388360,"Yes. I won't disturb anything, I promise.
I'll be outta here before you know it."
211,1388494,1390783,"- May I help you?
- Yes, actually."
212,1397168,1401248,"- It's stuck.
- We could return tomorrow with my son."
213,1401381,1404167,What about him?
214,1404299,1409091,"I would ask my driver to help you,
but he detests physical labour."
215,1410096,1414010,"Right. Well, you just stay here.
I'll be back in one minute."
216,1447089,1450385,"It's stuck. Hand me that flashlight, sir."
217,1463990,1468153,"If this door should fall down
or anything else,"
218,1469786,1472703,"this is the number for
our Baltimore field office."
219,1472830,1476744,"Now they know that you're with me.
Call them if anything should happen."
220,1476875,1479331,"Yes, Miss Starling."
221,1629651,1633316,"Clarice. They're waiting for you.
Watch your step."
222,1634989,1639068,"Hester Mofet. It's an anagram,
isn't it, Doctor?"
223,1639201,1642321,"Hester Mofet. ""The rest of me."""
224,1642704,1646867,"""Miss the rest of me.""
Meaning that you rented that garage?"
225,1682585,1686084,"- Thank you.
- Your bleeding has stopped."
226,1688549,1690589,How did you...?
227,1691761,1694464,It's nothing. It was just a scratch.
228,1696514,1698803,"Dr Lecter, whose head is in that bottle?"
229,1698933,1702183,Why don't you ask me about Buffalo Bill?
230,1702312,1706440,"- Do you know something about him?
- I might if I saw the case file."
231,1706566,1710149,"- You could get that for me.
- Why don't we talk about Miss Mofet?"
232,1710278,1712566,You wanted me to find him.
233,1712696,1718117,"His real name is Benjamin Raspail,
a former patient of mine,"
234,1718243,1722821,"whose romantic attachments ran to,
shall we say, the exotic."
235,1723414,1727542,"I did not kill him, merely tucked him
away very much as I found him,"
236,1727668,1731332,after he'd missed three appointments.
237,1731463,1736882,"- If you didn't kill him, then who did, sir?
- Who can say? Best thing for him, really."
238,1737009,1739416,His therapy was going nowhere.
239,1739886,1742591,"His dress, make-up..."
240,1743432,1747594,"- Raspail was a transvestite?
- In life? Oh, no."
241,1747727,1752614,"Garden-variety manic-depressive.
Tedious, very tedious."
242,1752743,1755199,"I now just think of him
as a kind of experiment."
243,1755329,1758948,"A fledgling killer's
first effort at transformation."
244,1759083,1761953,"How did you feel
when you saw him, Clarice?"
245,1762377,1766671,"Scared at first, then exhilarated."
246,1767173,1773009,"Jack Crawford is helping your career.
Apparently he likes you and you like him."
247,1773138,1775177,I never thought about it.
248,1775306,1778094,"Do you think Jack Crawford
wants you, sexually?"
249,1778226,1783432,"True, he is much older, but do you think
he visualises scenarios, exchanges,"
250,1783564,1786019,fucking you?
251,1787859,1793814,"That doesn't interest me and, frankly,
it's the sort of thing that Miggs would say."
252,1794950,1797404,Not any more.
253,1804123,1806578,"Thank you, Barney."
254,1809753,1812209,What happened to your drawings?
255,1813256,1817668,"Punishment, you see, for Miggs.
Just like that gospel programme."
256,1817802,1820803,"When you leave,
they'll turn the volume way up."
257,1820930,1824263,Dr Chilton does enjoy his petty torments.
258,1825059,1828594,"What did you mean
by ""transformation"", Doctor?"
259,1836486,1839985,"I've been in this room
for eight years now, Clarice."
260,1840114,1844194,"I know they will never ever
let me out while I'm alive."
261,1844327,1846532,What I want is a view.
262,1846661,1850541,"I want a window where I can
see a tree, or even water."
263,1850677,1854177,"I want to be in a federal institution
far away from Dr Chilton."
264,1854306,1858967,"What did you mean by ""fledgling killer""?
Are you saying that he's killed again?"
265,1859101,1864806,"I'm offering you a psychological profile of
Buffalo Bill, based on the case evidence."
266,1870152,1872441,"I'll help you catch him, Clarice."
267,1879244,1881366,"You know who he is, don't you?"
268,1882288,1884826,"Tell me who decapitated
your patient, Doctor."
269,1884957,1887994,All good things to those who wait.
270,1888127,1892540,"I've waited, Clarice, but how long
can you and old Jackie Boy wait?"
271,1893007,1898297,"Our little Billy must already be
searching for that next special lady."
272,1902098,1905799,"MEMPHIS, TN"
273,1961540,1963579,"Hey, little cheeper."
274,1971966,1974041,I'll be right there.
275,2000448,2002488,Can I help you with that?
276,2003201,2005239,"- Would you?
- Sure."
277,2006203,2009157,"- Thank you.
- You look kinda handicapped."
278,2009289,2013832,"Yeah. I got it this far. I just can't
get it up in the truck by myself."
279,2013961,2017210,"- Here. Grab this.
- OK."
280,2017338,2019829,Just set it down. That's good.
281,2019965,2024010,"Get in the truck.
I wanna push it all the way up."
282,2024136,2027719,"I really appreciate this.
Thank you. Thank you."
283,2028182,2030221,Push it all the way back.
284,2031976,2034016,"- Is this good?
- Yeah."
285,2036397,2038935,"- That's great.
- OK."
286,2039067,2041605,"Say, are you about a size 14?"
287,2041736,2043775,Sorry?
288,2064102,2066141,Good.
289,2083660,2085700,"Oh, good."
290,2086371,2087865,Good.
291,2116899,2118939,Starling!
292,2120820,2122859,Outside. Let's go.
293,2123739,2127404,Cindy. In the ring for Starling. Let's go.
294,2135082,2136872,FBI!
295,2137000,2139573,"Pack your field gear.
You're going with Crawford."
296,2139711,2141868,"- Where?
- They found a girl's body."
297,2142004,2144874,"Been in the water a week.
It's a Buffalo Bill situation."
298,2145674,2150141,"CLAY COUNTY, W VA"
299,2156988,2159988,"He keeps them alive for three days.
We don't know why."
300,2160116,2163152,"No evidence of rape
or physical abuse prior to death."
301,2163285,2166570,"All the mutilation
you see there is postmortem."
302,2166705,2169741,"OK, three days. Then he shoots them,"
303,2169874,2174252,"skins them and dumps them,
each body in a different river."
304,2174379,2177463,"The water leaves us
no trace evidence of any kind."
305,2177590,2180046,"That's Fredrica Bimmel, the first one."
306,2180176,2183211,"Her body was the only one
he took the trouble to weight down,"
307,2183345,2186215,so actually she was the third girl found.
308,2186348,2189384,"After her, he got lazy."
309,2190769,2193141,"OK, let's see."
310,2193605,2197934,"Circles where the girls were abducted.
Arrows where their bodies were found."
311,2198068,2202812,"This new one today washed up here.
Elk River, West Virginia."
312,2222506,2226290,"Look at him, Starling.
Tell me what you see."
313,2226426,2231765,"He's a white male. Serial killers tend
to hunt within their own ethnic groups."
314,2231890,2236598,"He's not a drifter. He's got his own
house somewhere, not an apartment."
315,2236727,2240096,"- Why?
- What he does with them takes privacy."
316,2240230,2244773,"He's in his thirties or forties.
He's got real physical strength,"
317,2244902,2247606,"combined with
an older man's self-control."
318,2247738,2249896,"He's cautious, precise..."
319,2251002,2254086,"And he's never impulsive.
He'll never stop."
320,2254214,2256918,Why not?
321,2257050,2261426,"Got a real taste for it now
and he's getting better at his work."
322,2262387,2265057,"Not bad, Starling. Questions?"
323,2265682,2270675,"Yes, sir. You haven't mentioned anything
about the information in my report"
324,2270810,2272969,"or Dr Lecter's offer, sir."
325,2273104,2277813,"- I'm considering it.
- That's why you sent me in there, isn't it?"
326,2277942,2280860,"To get his help on Buffalo Bill, sir?"
327,2283156,2288778,"Well, if that was the case, then
I just wish I was in on it, that's all."
328,2289202,2293247,"If I'd sent you in with an actual agenda,
Lecter would have known it instantly."
329,2293373,2297122,"He would have toyed with you
then turned to stone."
330,2330574,2333824,"Excuse me, Sheriff Perkins.
These are the FBI people."
331,2333952,2338030,"Sheriff Perkins - Jack Crawford, FBI.
Special Agent Terry."
332,2338162,2341863,"Agent Starling. We appreciate
being invited into your jurisdiction."
333,2341999,2345451,"I didn't call you. That was
the state attorney's office."
334,2345586,2349714,"- We'll extend you every courtesy, but...
- Sheriff."
335,2349841,2354763,"This type of sex crime has certain aspects
I'd just as soon discuss in private."
336,2354898,2356938,Know what I mean?
337,2467180,2470712,"- Oscar, fetch Dr Akins from the chapel.
- Starling, we're back here."
338,2470848,2474217,"Tell Lamar to come on
when he's finished playing his music."
339,2474435,2477601,"Yeah, we'll be sending in a minute."
340,2479063,2481768,I need a six-way linkup.
341,2481899,2483975,"Chicago, Detroit..."
342,2484110,2486150,What?
343,2490157,2493857,"Excuse me. Excuse me, gentlemen.
You officers and gentlemen,"
344,2493994,2496698,"listen here now.
There's things we need to do for her."
345,2496830,2501456,"I know that y'all brought her this far and
her folks would thank you if they could"
346,2501585,2503825,for your kindness and your sensitivity.
347,2503961,2507294,"But now please go on now
and let us take care of her."
348,2508215,2510255,Go on now.
349,2512636,2514676,Thank you.
350,2517724,2519598,Thank you.
351,2520810,2522849,"OK, good."
352,2530485,2533154,"Yeah, that's right. Elk River."
353,2533280,2535735,Stand by for transmission.
354,2539158,2541198,Ray.
355,2552809,2556093,"Doctor, Lamar, let's take a look at her."
356,2581043,2583082,"OK, Starling."
357,2587590,2589630,Bill.
358,2604897,2609357,"Star-shaped contact entrance wound
over the sternum."
359,2611445,2613568,A muzzle stamp at the top.
360,2613697,2615856,Wrongful death.
361,2617034,2620450,"She'll have to go to
the state pathologist at Claxton."
362,2620579,2624789,"Well, I'd better get back to that service.
Lamar'll help you."
363,2624916,2626955,Lord Almighty.
364,2630963,2634047,"What else do you see, Starling?"
365,2634175,2636630,"Well, she's not local."
