Number,StartMilliseconds,EndMilliseconds,Text
1,50342,53762,"Is everything in place?
You're not to relieve me."
2,54012,56640,"I know, but I felt like taking a shift."
3,57182,59560,"You like him, don't you?
You like watching him."
4,59810,62813,"Don't be ridiculous.
We're going to kill him."
5,63063,65524,Morpheus believes he is the One.
6,65691,66733,Do you?
7,66900,68735,It doesn't matter what I believe.
8,68986,70612,"You don't, do you?"
9,70862,72948,"Did you hear that?
Hear what?"
10,73156,74783,Are you sure this line is clean?
11,75033,77035,"Yeah, of course I'm sure."
12,77369,78829,I better go.
13,116783,118577,"Freeze! Police!
Hands on your head!"
14,119119,120203,Do it! Do it now!
15,141600,144227,"- Lieutenant.
- Oh, shit."
16,145062,148273,"Lieutenant, you were given
specific orders."
17,148523,150233,I'm just doing my job.
18,150859,155280,"You give me that ""juris-my-dick-tion""
crap, you can cram it up your ass."
19,155739,158241,The orders were for your protection.
20,159743,161953,I think we can handle one little girl.
21,167084,168835,I sent two units!
22,169086,170671,They're bringing her down now!
23,170921,174049,"No, lieutenant, your men
are already dead."
24,203120,204204,Shit.
25,207124,209209,"Morpheus, the line was traced.
I don't know how."
26,209459,211086,I know. They cut the hard line.
27,211294,213463,"There's no time.
Get to another exit."
28,213714,216133,"- Are there any agents?
Yes."
29,216341,217509,Goddamn it.
30,217759,219302,"You have to focus, Trinity."
31,219553,221930,There's a phone at Wells and Lake.
32,222305,223974,You can make it.
33,224224,225892,"- All right.
- Go."
34,288038,289080,That's impossible.
35,324074,326076,"Get up, Trinity. Just get up."
36,326743,327953,Get up.
37,373832,375333,She got out.
38,375625,376918,It doesn't matter.
39,377168,380338,"The informant is real.
Yes."
40,380505,382257,We have the name of their next target.
41,382507,384175,The name is Neo.
42,387470,388972,We'll need a search running.
43,389264,391182,It has already begun.
44,445946,447155,What?
45,452911,454412,What the hell?
46,462045,464005,"""Follow the white rabbit."""
47,475850,477018,Who is it?
48,477268,478561,It's Choi.
49,483692,485527,Yeah. Yeah.
50,492075,493243,You're two hours late.
51,493827,495578,I know. It's her fault.
52,495745,496830,You got the money?
53,498957,500125,Two grand.
54,501001,502127,Hold on.
55,519811,521187,Hallelujah.
56,521438,524315,"You're my savior.
My own personal Jesus Christ."
57,524566,526443,You get caught using that...
58,526693,528820,"I know. This never happened.
You don't exist."
59,529946,532032,"Right.
Something wrong, man?"
60,532282,534325,You look a little whiter than usual.
61,535452,537620,"My computer, it..."
