Number,StartMilliseconds,EndMilliseconds,Text
1,10428,11846,"WOMAN: I just don't want
to make one of these tapes"
2,12013,13765,"if it's something you do
with every girl."
3,13932,18520,"MAN: Every girl? No, no.
I am strictly a one-woman guy."
4,18686,20967,"WOMAN: Well, I don't want to end up
all over the Internet."
5,20980,23149,I pride myself on keeping a low profile.
6,23316,25735,"- My private life is private.
- Hm."
7,27111,31157,"Wait. I thought you never did this
before. What are all these?"
8,31324,34202,"Oh, uh, just some movies I rented."
9,34953,36074,"""Me and Brandy, Missionary""?"
10,36204,38915,A tale of two girls who become nuns.
11,39082,40458,"""Me and Brandy, Doggy""?"
12,40625,44128,"The sequel. The nuns
adopt a chocolate lab."
13,44295,46297,What are all those?
14,46464,47799,"Oh, that's just your standard"
15,47966,50343,"home security setup.
Basic run-of-the mill."
16,50510,53012,"No big deal, nothing too elaborate.
Everybody has them."
17,53179,55890,"And why do you need security cameras
pointing at your bed?"
18,56057,58351,"In case a burglar tries
to steal my sex tapes."
19,58518,59769,"Now, let's get into bed."
20,59936,62536,"Let's just make this quick.
I have a court hearing in the morning."
21,62647,65441,"- Judge Henderson?
- No. I wish. Thompson."
22,65608,67694,Mm. That's going to suck for you.
23,67860,70196,It was a driving mishap thingy.
24,70363,72282,"Do me a favor.
Promise me you won't drive."
25,72448,74325,"That's sweet.
You're worried about me driving."
26,74492,77579,"Mm-mm. I'm worried about me.
I'm a pedestrian."
27,78871,80206,"(ELECTRICAL BUZZ)
- Ow!"
28,80373,82834,Sorry. That's my sobriety monitor.
29,84669,85670,"(ELECTRICAL BUZZ)
- Ow!"
30,85837,87839,Sorry. Sorry. (CLEARS THROAT)
31,88006,89591,Ankle. Tracking bracelet.
32,91134,93386,"- Oh, wait. Wait. Sorry, just...
(MOTOR RUMBLING)"
33,95513,97557,"- Who put that on you?
- I did."
34,97724,99309,"It's the only way
I can have an orgasm."
35,100977,102937,"- Not tonight.
(EXHALES)"
36,104814,106524,(BED SPRINGS SQUEAKING)
37,111321,113990,"- What are you doing?
- Huh?"
38,115199,118244,Just... warming up.
39,120663,123207,"You sure we're alone here? Feels like
there's somebody else in this house."
40,123374,125835,"(SCREAM ECHOING)
- Did you hear that?"
41,126002,128212,That's nothing.
42,128379,129619,"(CREAKING)
- OK, what is that?"
43,129672,131966,Just... unraveling the old hose.
44,132925,134802,"Save it for tomorrow, Raul."
45,134969,136596,"Si, senor."
46,137347,139682,(SOFT JAZZ PLAYING)
47,142101,144312,(UPBEAT MUSIC PLAYING)
48,185019,186145,(BELL DINGS)
49,193569,195029,(BELL DINGS)
50,199117,200118,(HORN HONKS)
