Number,StartMilliseconds,EndMilliseconds,Text
1,17543,22975,"The Empire of Izmer
has long been a divided land."
2,23009,27532,"Ruled by the Mages,
an elite group of magic users."
3,27575,31063,"The lowly Commoners,
those without magic..."
4,31108,33767,are little more than slaves.
5,33807,36568,Izmer's young Empress Savina...
6,36607,40698,"wishes equality
and prosperity for all."
7,40739,46137,"But the evil Mage Profion
has other intentions."
8,171651,173947,At last!
9,175550,177277,"Come, Damodar."
10,187048,188241,Release him.
11,226175,228969,You are mine now.
12,231041,232768,Come to me!
13,243605,246867,"Yes, I told you
it could be done."
14,246904,250631,"You have the power
of the Immortals."
15,251638,254069,You can control Dragons.
16,254104,256263,"With a Dragon army
at my command..."
17,256303,257929,I can crush the Empress...
18,257970,260197,"and control
what is rightfully mine!"
19,261569,263535,"You don't like that, do you?"
20,263569,264830,Good!
21,264868,267800,"I can use every ounce
of your rage!"
22,269268,270529,Come on.
23,270568,272624,Follow me.
24,273634,274964,Follow me!
25,276634,278861,I said follow me!
26,308028,310459,"What now, my lord Profion?"
27,310494,314687,"We shall have to modify
our plans."
28,314727,318318,"Summon the High Council of Mages
immediately."
29,318360,322087,"They're about to learn something
of our young Empress..."
30,322126,325182,"that may give them pause
for thought."
31,325225,326884,It will be done.
32,338123,341452,"This must be some
twisted magic experiment..."
33,341489,344011,gone seriously wrong.
34,344055,345680,"Why is it every time
something bad happens..."
35,345722,347347,you blame the Mages?
36,347388,350218,"When was the last time
you saw a river catch on fire?"
37,350255,352948,"You think they care
if anyone got hurt?"
38,352988,356885,"I'd love to find a way to give
those Mages some payback."
39,359219,361447,"""Ridley the Savior."""
40,361486,363849,That'll be the day.
41,363885,366612,"Look, Ridley,
things are the way they are."
42,366652,368617,"There's nothing
you can do to change it."
43,368651,371310,"You got your haves
and your have-nots."
44,371351,373214,We are your gotta-gets.
45,373251,376478,"And right about now,
we gotta get paid."
46,378483,380414,The Magic School.
47,380449,381881,The what?!
48,381916,383279,The Magic School?
49,383315,384542,Are you crazy?
50,384582,386070,"We'll break
into the Magic School."
51,386115,387375,Think of what we could get.
52,387414,389505,"With the fire,
it won't be heavily guarded."
53,390114,392511,"Think of the challenge, Snails."
54,392547,395842,"Think of what
we could find in there."
55,395879,397742,If we pull this off...
56,397779,400870,"we'll be the envy
of every Thief in Sumdall."
57,401878,403208,Trust me.
58,408644,411872,"Why would the Empress
want to disband this Council?"
59,411911,414671,"It's a concept
I find difficult to believe."
60,414710,417938,"Azmath, your loyalty
is commendable..."
61,417977,420408,"but we have all watched
the Empress' growing up..."
62,420443,422408,"and we have all
heard her views..."
63,422442,425704,"on what she considers to be
the injustices of the land."
64,425741,428400,But she is just a young woman.
65,428441,431407,"Young people speak
from the heart, not the mind."
66,431441,433270,"In time, with our counsel..."
67,433307,436965,"she will come to understand
why things cannot be changed."
68,437006,438165,Maybe so.
69,438206,441933,"But is that a risk
you are willing to take?"
70,441973,443529,Her revolutionary ideas...
71,443572,445696,"have already taken root
among the people."
72,445738,449033,"In time,
her influence will grow."
73,449071,451003,As the months go by...
74,451037,454025,"she will learn to master
the powers of her Scepter."
75,454070,456093,"When she does,
I have no doubt..."
76,456136,459590,"she will use it
to enforce her changes upon us."
77,460603,462568,"What do you propose, Profion?"
78,463568,468761,"I humbly ask that we vote
to remove the Scepter..."
79,468801,471892,from the Empress' control...
80,471934,475626,"so that government in Izmer
will remain secure."
81,475666,478257,"Remove the Scepter
which lolls above our heads..."
82,478299,481356,"and destroy the threat
of revolution forever!"
83,483799,486923,And if she does not agree?
84,486965,488487,Then...
85,489831,493990,"her true intentions
will become clear."
86,494030,498757,"And then we will be forced
to do whatever we must..."
87,498796,503659,"to protect the strength
and unity of Izmer."
88,504995,506654,What say you?
89,521092,523853,"How could he get the Council
to turn against me?"
90,523892,526982,"He plays on the fears
of the others..."
91,527024,529387,their fears of change.
92,529424,530720,"I know, Vildan..."
93,530757,534416,"but the changes I propose
are for the good of the people."
94,534456,537081,"All people deserve
to be free and equal..."
95,537122,539554,whether Commoner or Mage.
96,539589,542714,"I know this within the depths
of my soul..."
97,542755,544687,and if necessary...
