Number,StartMilliseconds,EndMilliseconds,Text
122,666474,668494,"- We could walk.
- WOMAN: Walk?"
123,668594,671057,"- MAN: Walk? Ain't nobody walking.
- What did you say?"
124,671157,673165,We could walk.
125,673265,677670,"I got maps of the system and I got all the
maintenance tunnels with the exits marked."
126,677770,681541,"- We can walk right out of here.
- Brilliant idea. You're my new best friend."
127,681641,684618,"Are you crazy? What are you gonna do
when the T starts running again?"
128,684718,686895,"You don't want to come,
you don't got to come. I don't care."
129,686995,689164,"You guys are idiots.
We're safe right here."
130,689264,692651,"- Only if this lasts less than 24 hours.
- What do you mean?"
131,692751,695714,"The groundwater. The sewage workers
pump out the groundwater."
132,695814,698975,"If nobody's manning the pumps,
whole system floods."
133,699075,703021,"All this'll be underwater. You'll be forced
into the terminal back out in the streets."
134,703121,705723,"And if Boston is still burning
or if what he's saying is true..."
135,705823,707951,"MAN: Don't listen to him.
We're not gonna be down here that long."
136,708051,711038,"- Do you want to stay here or go?
- It's gonna blow over. These things always do."
137,711138,714812,"- Yo, yo, yo, yo, yo. Can I come with you?
- I'm not gonna stop you."
138,714912,718044,"- Yo, awesome. Deuces, man. Adios.
- You don't even know him."
139,718944,720939,"MAN: You think this is happening
everywhere or just here?"
140,721039,722798,DRIVER: We'll know in a little while.
141,722898,725844,"We lose power,
means it's happening everywhere."
142,725944,730156,"Nobody's manning the power stations.
Probably running for their lives like us."
143,731256,734493,"Wonder how many folks were
on those things when it happened."
144,734593,736120,A lot.
145,736220,739590,"Too many. Like everybody. And those that
didn't get it the first time got zapped"
146,739690,741650,"when they tried to call 911
or their families."
147,741750,743294,Hmm.
148,744394,746865,"I'm Tom McCourt, by the way."
149,746965,749258,Clay Riddell. Good to know you.
150,749558,752428,Mike Mattick. They call me DJ Liquid.
151,753028,755156,"- Keep moving.
- TOM: DJ."
152,755256,757452,I got to get to Kent Pond.
153,757552,759940,"My family is up there.
I've got a wife and son."
154,760040,763397,"You know, in New Hampshire. Kent Pond?
You got anybody you need to check on?"
155,763497,765842,"- I got my boo.
- Did you say ""my boo""?"
156,765942,768011,"- Yeah, what you got, huh?
- Come on, come on."
157,768111,773273,"My man, he done left me,
so I ain't got nobody. I live alone."
158,777645,778846,(PHONE CHIMES)
159,778946,783176,"- Yo, I got service. What does that mean?
- I don't know. Put that thing down."
160,784126,786338,Are they normal?
161,786788,788116,They look normal to you?
162,788216,792034,"I don't know. You want to take
that chance? What's abnormal?"
163,794728,796705,(SNARLING)
164,796805,798506,"- (GROANS)
- (SCREAMS)"
165,798606,801435,Shit! Shit! Come on! Come on!
166,801535,803629,(SNARLING)
167,807041,810143,Come on! Run!
168,817426,819395,(GRUNTS)
169,823649,826594,"- Come on, man. Come on.
- (ALARM BLARING)"
170,827094,829129,(GROWLING)
171,831357,834552,"Come on! Give me your hand.
Give me your hand. Come on. Come on."
172,834652,836764,(GROWLING)
173,841834,845270,"The Dumpster. The Dumpster.
I got it. I got it."
174,845370,846716,(SHOUTING)
175,855273,857849,Go. Go.
176,861179,863222,(ALARMS RINGING)
177,869628,871755,Hold it.
178,877578,879880,CLAY: I know her.
179,886895,890008,"- Okay, what floor?
- Two."
180,890108,893335,"Okay, go. Go."
181,917993,921564,"- (DOG BARKING)
- Shit, hurry up! Hurry up."
182,947798,949986,"- Yeah, dead.
- (CAT MEOWS)"
183,954522,957056,Think it's safe to text?
184,957391,959084,I'm out of juice.
185,959184,963571,"I've got to text my family, see if they're
okay. Can I borrow your phone, please?"
186,967376,969452,(BEEPS)
187,981790,983700,(CHIMES)
188,989121,992168,It's all jumbled up. Scrambled.
189,992268,996239,"Why don't you stick my phone in the freezer?
It makes the battery last longer."
190,996339,998632,Probably need it to check the signal.
191,998732,1002294,"If we don't make any calls,
it should last for a few days."
192,1005481,1007991,"- You draw all these?
- (WATER RUNNING)"
193,1008091,1010962,Yeah. My graphic novel.
194,1020271,1024700,"TOM: I was thinking about that...
poor kid down in the tunnel."
195,1025500,1028262,DJ...
196,1029262,1031314,Liquid?
197,1032065,1034151,God damn.
198,1036704,1039632,"You know, if we're going to survive this,
whatever it is,"
199,1040032,1042140,people are gonna have to...
200,1042240,1045082,put aside their...
201,1045182,1048665,finer sensibilities.
202,1049858,1052328,If they can't...
203,1053828,1055709,they're gonna die.
204,1055809,1057879,(POUNDING ON DOOR)
205,1062195,1064015,WOMAN: Hello?
206,1064815,1067176,"- She sound normal?
- Hello?"
207,1067276,1070328,"- Please, someone be there.
- Are you normal?"
208,1070428,1072615,What do you think? Open the damn door.
209,1073557,1075651,(PANTING)
210,1078453,1081240,"- Okay.
- I live upstairs."
211,1081340,1084710,"Yeah, I've seen you before. I'm Clay."
212,1084810,1086913,"- Tom.
- I'm Alice."
213,1087013,1089982,"I think you guys should close the blinds.
I don't think that's smart."
214,1090082,1093502,"Close the blinds. I don't think it's gonna
be good if somebody sees us in here."
215,1093602,1095546,He's gonna close them.
216,1095646,1098399,"Tom, you close them.
See, he's closing them."
217,1099099,1102236,"- Are you hurt?
- What do you mean, am I hurt?"
218,1102336,1105965,"Are you physically injured?
Can I help you?"
219,1107115,1109801,(CRYING) I killed my mom.
220,1110795,1113289,I killed my mom.
221,1113889,1117986,"I want to get out of this dress
because it really smells."
222,1118086,1121890,Like blood and sweat and my mom's perfume.
223,1121990,1124993,"My... girlfriend
might have left some jeans."
224,1125093,1127036,I think they'd just about fit you.
225,1127136,1130338,"And I have pajamas.
I have plenty of pajamas."
226,1139247,1143576,"- Okay?
- Yeah, I'm just tired."
227,1144076,1147230,"Here, do you want to maybe..."
228,1153186,1155639,"There's still some hot water
if you want to take a shower."
229,1155739,1159810,"Uh-huh, okay. Thank you."
230,1164773,1166810,(THUNDER RUMBLES)
231,1167610,1169203,(PURRING)
232,1169303,1173007,"CLAY: Listen, Tom,
I'm gonna head north to Kent Pond"
233,1173107,1177921,"in the morning as soon as it gets light.
I think you and Alice should come with me."
234,1178579,1181740,"Clay, I'm really sorry about your family."
235,1181840,1184884,"Don't be sorry because there's nothing
to be sorry about yet."
236,1191283,1194963,"My... kid had a cell phone,
but he never made calls."
237,1195063,1198207,"He just texted, you know? Liked games."
238,1198307,1201744,"But my wife, she had one and I called her
right before it happened."
239,1201844,1206323,"When I met you.
So I don't know if she was on it."
240,1213581,1216874,"I just want you to know I'm real glad
I ran into you today, Tom."
241,1222456,1224541,(DOOR OPENS)
242,1225826,1228010,You okay?
243,1230122,1233626,"Oh, um, I found these in your pocket."
244,1233726,1235694,Hope you don't mind.
245,1235794,1238521,"No, no, no, no."
246,1246188,1249818,"- Here, maybe drink something.
- No."
247,1249918,1253286,"- Do you want something to eat?
- No."
248,1262212,1264965,"If you guys go somewhere,
can I come with you?"
249,1265065,1268002,"- Hoping you'd say that.
- CLAY: Definitely."
250,1268302,1270170,Yeah.
251,1271839,1275093,"- I'm gonna try and get some rest now.
- Yeah, we'll be here."
252,1278996,1280873,Yeah.
253,1292668,1294487,So...
254,1296187,1300918,"some kind of terrorist attack
or some shit, do you think?"
255,1301018,1303453,"I don't know, man."
256,1304663,1307458,"Well, whoever it was..."
257,1307758,1311486,"us three are like bugs
who had the dumb luck..."
258,1311586,1315057,to avoid the stomp of the giant's foot.
259,1315549,1317551,(PHONE RINGING)
260,1331857,1333934,(RINGING STOPS)
261,1370521,1372411,(SNARLING)
262,1390749,1392765,(SHOUTING)
263,1422815,1425143,They're like birds.
264,1425243,1428119,They're acting like a flock of birds.
265,1432441,1434681,"TOM: Well, I don't like it."
266,1434781,1438688,I don't like this flocking thing at all.
267,1440182,1443252,"I mean, whatever it is,
I've just got to get to Kent Pond"
268,1443352,1446112,and find out about my wife and son.
269,1448024,1450734,"If you guys don't want to come,
I totally get it."
270,1450834,1452868,(GROWLING)
271,1472831,1474922,"- (SNARLING)
- (ALICE GASPS)"
272,1494770,1496777,(DOG BARKING)
273,1506281,1508741,Hold up. Hold up.
274,1518627,1521296,"- Oh, shit.
- What?"
275,1526359,1528937,"- I don't know.
- Should we go back?"
276,1534685,1536913,"- (TIRES SQUEAL)
- (ROARING)"
277,1541091,1543899,"WOMAN: Oh, my God! Help me!"
278,1545796,1547748,Help me!
279,1547948,1549551,(MAN GROANING)
280,1549951,1552036,"- Oh, Jesus.
- (CRACKING, TEARING)"
281,1552136,1553229,(MAN SCREAMING)
282,1553329,1555826,"- Should we help them?
- No, no, no, no. Nothing we can do."
283,1555926,1558734,"- We go back or we go right now.
- No, go, go, go. They're not looking."
284,1558834,1561561,"- They're not looking. Go, go.
- Go."
285,1581590,1583659,TOM: Where they all go?
286,1583759,1586908,"CLAY: Maybe we got lucky
and they all dropped off, you know,"
287,1587008,1590373,"when they lost the signal
like at the train station."
288,1606599,1609968,Tom. Tom.
289,1611362,1613789,"Always considered myself a pacifist,"
290,1613889,1617173,"but I wouldn't mind
having a pistol right now."
291,1617819,1622117,Guys. I don't think that's a good idea.
292,1622915,1626077,"CLAY: I go in with my hands raised
and just say I want to talk."
293,1626177,1628462,"Maybe ring the doorbell.
What's the worst that can happen?"
294,1628562,1632016,"I'm a black man with a crowbar.
I'm not walking over there."
295,1632116,1637037,"- Okay, how about that one?
- That makes all the difference in the world."
296,1639290,1641317,(CLATTERS)
297,1666792,1669203,"Oh, my God. Oh, my."
298,1689798,1692126,Why don't you take care of Alice?
299,1692426,1694778,I'll get what we came for.
300,1712104,1714180,(FLIES BUZZING)
301,1720929,1723498,"Here, take this."
302,1724157,1725979,Uh-uh.
303,1728129,1730163,(COCKS GUN)
304,1730263,1732299,"- What?
- Look at you."
305,1732399,1737124,"Yeah, basic training.
You never forget. Grab some ammo."
306,1742568,1744570,CLAY: How do you load these things?
307,1744670,1747698,"- You guys, there's someone out here.
- What?"
308,1747798,1750042,He's by himself.
309,1750742,1752871,Close 'em. Close the drapes.
310,1752971,1755063,(SWING SQUEAKING)
311,1759668,1762219,"Hey, are you okay?"
312,1768001,1769886,Hello.
313,1776969,1779463,"- Hello.
- Kid."
314,1782308,1783509,"- (BARKING)
- (SNARLING)"
315,1783609,1785660,"CLAY: Oh, shit."
316,1786612,1788657,(SWING SQUEAKING)
317,1791091,1794186,I guess they don't all travel in flock...
318,1798541,1800547,"(GROWLING, SNARLING)"
319,1808992,1811186,(GUNSHOT)
320,1824024,1826118,(PANTING)
321,1830073,1832112,(PANTING)
322,1835386,1837408,(CRACKS)
323,1850451,1852202,Fuck this.
324,1853179,1855198,(GUNSHOTS)
325,1861287,1863981,Let's go. Let's go.
326,1925784,1927874,"(CLICKING, SCREECHING)"
327,1973574,1975925,(WHISPERS) What the hell?
328,2042568,2046114,"TOM: Well, it looks like when the sun goes
down they're programmed to pack it in."
329,2046214,2048507,It was like they all did it together.
330,2048607,2051493,"Like it was an automated
response or something."
331,2051593,2056574,"You know what I don't get is how they
all knew exactly where we were that fast."
332,2056674,2059043,"I mean, it's not like they
were watching us or anything."
333,2059143,2061587,Not with their own eyes anyway.
334,2061687,2066925,"Not with their own... so you're saying
when that kid saw us, they all saw us?"
335,2067025,2069306,"- How else do you explain it?
- So now they're psychic?"
336,2069406,2071281,Telepathic.
337,2071381,2073433,Like maybe...
338,2073533,2077570,"the pulse flows through them like they're
this big, organic, you know, network."
339,2077670,2079889,ALICE: Like a hive mind.
340,2080489,2081741,(CHUCKLES)
341,2081841,2083674,Yeah.
342,2084474,2086911,CLAY: You got anything better?
343,2088372,2090416,(GEESE HONKING)
344,2113481,2115199,"TOM:
What makes you think they're still there?"
345,2115299,2119620,"I mean, no matter what or how it went down,
don't you think they might have bailed?"
346,2119720,2123790,"CLAY: If they're safe,
they would have left a message."
347,2131757,2135603,"Lost most of my money
in the great collapse of '08."
348,2135703,2140524,"And I lost my emotional stability
in the great divorce of '09."
349,2140624,2142251,(CHUCKLES)
350,2142351,2145571,"You know, at the time, I thought
that was the end of the world."
351,2145671,2147698,"- Whoa, what is that?
- (MUSIC PLAYING)"
352,2147798,2150600,"- You hear that?
- Yeah."
353,2151510,2153598,It's music.
354,2164006,2169378,"Greetings, gentlemen. Miss.
Welcome to Gaiten Academy."
355,2169878,2173732,"If you folks need a place to stay
for the night, we have plenty of rooms."
356,2173832,2176685,"The boys who didn't have
cell phones have all run off."
357,2176785,2180348,"- The ones who did have them...
- Oh, we know about that."
358,2181348,2185016,"I'm Jordan. I'm a scholarship boy.
I lived in Holloway."
359,2185116,2188013,"- Good for you, Jordan.
- Yes, sir. That's what the Head said, too."
360,2188113,2191691,Charles Ardai. Headmaster.
361,2192201,2194653,"Quite a problem these cell phones
have caused now, isn't it?"
362,2194753,2196514,(CHUCKLES)
363,2196614,2199609,"The devil's intercom
is what I used to call them."
364,2199709,2201510,Nice. It's apt.
365,2201710,2203487,CLAY: What's with the music?
366,2203587,2205874,"Did you ever play musical chairs
as a child?"
367,2205974,2208792,"- Yeah.
- Well, as long as the music doesn't stop,"
368,2208892,2211520,we've got nothing to worry about.
369,2211620,2215157,"We'll have a quick peek, then we'll go
over to Cheatham Lodge for dinner."
370,2215257,2218436,"It's not 200 yards to Tonney Field,
I promise."
371,2218536,2220632,(MUSIC CONTINUES)
372,2224225,2226610,ALICE: Holy shit.
373,2230122,2234577,"- Is the music coming from their phones?
- CHARLES: Don't worry, they won't wake up."
374,2234677,2237454,TOM: How can you be so sure of that?
375,2238481,2241654,"- Observe.
- What the hell are you doing? He's..."
376,2241754,2242551,(COCKS GUN)
377,2242651,2245637,"CHARLES: No, no, he's calm. He's calm."
378,2245737,2249883,"I could put my sword cane right through
his throat and he wouldn't try to stop me."
379,2249983,2253186,"Nor would those around him
spring to his defense."
380,2253286,2256549,"Of course, if I tried it in the daylight,
they'd tear me limb from limb."
381,2256649,2259217,"The music comes from their mouths, too."
382,2259317,2262554,"It's not hardly a whisper,
but you can hear it."
383,2264890,2266893,"- Come here.
- That's got to be your imagination."
384,2266993,2270237,"- There's no way that they're actually talking.
- Come listen."
385,2276460,2278922,It's like they don't breathe.
386,2280230,2283200,I can hear it. I can hear it.
387,2283300,2285653,"How is that even possible
without a transmitter?"
388,2285753,2289390,"They are transmitting. It's a new skill
they seem to have picked up."
389,2289490,2292283,And they're changing at an alarming rate.
390,2292383,2297056,"ALICE: Can we please move
this conversation inside? Please."
391,2301777,2306323,"CHARLES: We cannot overestimate the
developmental leaps we're witnessing here."
392,2306423,2311829,"They appear to be eusocial.
Like a colony of bees or ants."
393,2312329,2315032,"They act for the good
of the group as a whole."
394,2315132,2318201,"There's no competitiveness,
no selfishness."
395,2318301,2321864,"In fact, they may be the next stage
in human evolution."
396,2321964,2327011,"Every human on planet Earth
will be part of one giant organism."
397,2327111,2329948,No individuality. No privacy. Come on.
398,2330048,2333076,No war. No resource depletion.
399,2333176,2336238,"- No conflict.
- No, thank you."
400,2336338,2338897,"As to what they're doing at night
as they lie there so still,"
401,2338997,2342718,"open-eyed and listening to their music,"
402,2342818,2344862,we think they're rebooting.
403,2344962,2347365,"Yeah, I mean, they might as well have"
404,2347465,2350684,"""software updating, please stand by""
blinking on their foreheads."
405,2350784,2356640,"- You mean they had their brains wiped?
- Yeah, I mean, what is a brain?"
406,2356740,2360669,"It's just a big old hard drive.
Organic circuitry."
407,2360769,2364923,"No one knows how many bytes. Like,
giga to the power of googolplex, let's say."
408,2365023,2369270,"An infinity of bytes. If your brain
were an info strip on a hard drive,"
409,2369370,2374074,"it would say something like
2% in use, 98% available."
410,2374174,2376919,"- Holmes, you astound me.
- I love cybernetics."
411,2377019,2380364,"- Ah.
- Cyberpunk fiction, too. William Gibson."
412,2380664,2383842,"- CLAY: Neal Stephenson, you like him?
- Neal Stephenson is a god."
413,2383942,2388622,"- Yeah, he's pretty good.
- Right now the nights are ours."
414,2389022,2392793,"But what happens if they decide
that they need less sleep?"
415,2392893,2396822,"What happens if they decide to grow
against their digital lullabies?"
416,2396922,2401477,"What happens...
when they're not afraid of the dark?"
417,2401577,2403204,What are you suggesting?
418,2403304,2407507,"I think what's happening now
is more than temporary anarchy."
419,2407607,2410001,I think it's the start of a war.
