Number,StartMilliseconds,EndMilliseconds,Text
1,18520,20188,"All right.
My shift's not over till 9:00."
2,20271,21332,So tell Coach C I'm gonna be
3,21356,22982,"a few minutes late
picking you up, okay?"
4,23149,24484,Okay.
5,24609,25860,Good luck out there today.
6,26027,27487,Thanks.
7,27570,28780,Hey.
8,29822,31199,"You know, if I could,"
9,31366,33660,"I would be in those stands
cheering for my baby."
10,34536,36829,I know. Next game.
11,37830,39165,"Hey, Bron?"
12,40375,42001,You forgetting something?
13,46714,48508,"Love you, Ma."
14,49217,51010,"I love you too, baby."
15,52554,54055,All right. Go kill it.
16,64649,65733,"What's up, Bron?"
17,65900,67318,"What's up, Malik?"
18,70488,73575,Check it out. It's for you.
19,73992,76202,My dad got me the new color one.
20,76286,78606,"Oh, and if it freezes up on you,
just smack it really hard."
21,79122,80665,"- Works every time.
- Thanks, man."
22,80748,82667,Let's go get this win.
23,83334,84419,Phew!
24,92010,93886,"Eh, what's up, Doc?"
25,94053,95805,"Hey, where Bron at?"
26,96514,97890,LeBron James!
27,97974,99118,"Eh, what's up..."
28,99142,100810,"- What the hell is this?
- Oh, snap!"
29,100893,101978,"""Oh, snap"" nothing, man."
30,102145,104480,"Get your tail on the court right now!
Whatchu doing?"
31,105690,106816,"Hey, hey, hey!"
32,106899,109068,Iso! Iso for Bron!
33,109819,111487,Nobody else shoot the ball.
34,112530,114657,"All right, Bron, you keep that ball!"
35,115575,116743,You shoot the ball.
36,117160,118679,"- Iso! Iso! Iso!
- You know what to do, baby."
37,118703,120038,Let's go. It's your world.
38,127003,128671,Damn! Damn!
39,128838,130173,"It's all right, it's all right."
40,130673,131674,Damn!
41,132091,133843,"Come on, line up.
Line up in front of me."
42,134010,135845,Line up right here in front of me.
43,140350,141517,"Listen, man."
44,141601,143871,"I'm not even disappointed
about us losing the game tonight"
45,143895,145480,'cause it's not about that.
46,145647,148316,"It's about you giving your all,
and you didn't do that tonight."
47,148483,149567,LeBron.
48,150902,152904,You wasn't focused.
49,153237,154298,Getting your head in the game
50,154322,155966,"starts before you even put
one foot on the court."
51,155990,157384,"It starts before you even
get to the gym."
52,157408,158552,"But everybody on the team
plays video game..."
53,158576,159577,LeBron.
54,159661,161461,"This ain't about everybody,
this is about you."
55,162538,165208,"Listen, you're the best
basketball player I ever coached."
56,165583,167627,"You could be
a once-in-a-generation talent"
57,167835,171089,"if you focus on the game
of basketball and not these"
58,171714,173257,distractions.
59,173424,176344,"You can't be great
without putting in work, right?"
60,176511,179138,"You got the chance to use basketball
to change everything."
61,179305,182767,"For your mom, for you,
for everybody who you care about."
62,183643,185186,You want that?
63,193736,196197,"LeBron James
has an NBA body."
64,196280,199158,"Six-seven and a half, 240 pounds"
65,200410,201890,plus he has got the complete package.
66,205540,209877,"With the first pick
in the 2003 NBA draft..."
67,210795,215425,"the Cleveland Cavaliers
select LeBron James."
68,220471,222515,"There he is
with his mom, Gloria."
69,244829,248166,"And the NBA Most Valuable Player
goes to..."
70,251085,253285,"And this fall, I'm gonna take my talents
to South Beach."
71,253921,256632,"LeBron James
with his first field goal"
72,256799,258885,as a member of the Miami Heat.
73,260136,261696,The Most Valuable Player trophy
74,261846,265224,of the 2012 NBA Finals.
75,265391,269437,"The 2013 NBA Championship
resides once again in Miami!"
76,270313,272023,I will not just shut up and dribble.
77,275860,278100,"We in the White House
right now. This is like..."
78,278404,279447,"Mom, I made it."
79,279614,281824,"LeBron James
is going back to Cleveland."
80,281991,285828,I'mma do what makes my city happy.
81,285995,288039,I love you. I'm back!
82,290792,293961,"LeBron James,
makes a great American story."
83,294921,297423,"Cold block by James!
It's over!"
84,298090,299467,Cleveland!
85,299634,300635,This is for you!
86,300802,302386,LeBron James is a Los Angeles Laker.
87,302553,303971,Here comes LeBron!
88,304055,305135,"My goodness,"
89,305181,306974,"that's the stuff
that dreams are made of."
90,308017,309060,Two seconds to go.
91,309477,310812,"James, the buzzer beater!"
92,310895,311979,You bet!
93,334794,336897,"So how much more work
does your video game need?"
94,336921,337922,It's been months.
95,338089,339090,It's almost ready.
96,339173,342218,"Like how you're almost ready to tell Dad
about the E3 Game Camp next weekend?"
97,343094,344303,I'm waiting on the right time.
98,344387,346740,"Honestly, I just think you should rip
the Band-Aid off and ask him."
99,346764,348283,"You're just saying that
'cause he says yes"
100,348307,349433,to everything you ask.
101,349600,350601,That's 'cause I'm nice.
102,350768,352728,"- You're not that nice.
- That's big talk."
103,353813,355147,See if you can back it up.
104,355982,357567,"Come on, let's see what you can do."
105,358985,360337,All right. Don't get crossed.
106,360361,362029,Oh! Gotcha!
107,363865,365241,"Yeah, okay."
108,365783,367618,"Come on, bro."
109,367702,368995,Dom.
110,369161,370329,What was that?
111,371247,372373,An open shot.
112,372456,373559,"And if you're gonna be out here,"
113,373583,375060,"it's about giving everything
that you got."
114,375084,376502,And not whatever that was.
115,376586,377626,Where's your fundamentals?
116,378087,379171,We having fun.
117,379338,380923,Everything in between these four lines
118,381090,382174,is work.
119,382341,383885,Who said I wasn't working?
120,384552,386345,This thing right here.
121,387805,389473,Told you not to bring that out here.
122,389640,391851,"Come on, Dom.
This isn't a game."
123,391934,393203,I need you focusing more...
124,393227,394371,...instead of playing with these toys.
125,394395,395396,"Darius, chill out."
126,395563,396883,You know I got full court vision.
127,397273,398566,How does he do that?
128,399275,400443,Ball.
129,401277,402987,"Show me that step-back move
I taught you."
130,403613,404780,"You got this, son."
131,405823,406884,"- In and out. Crossover.
- In and out."
132,406908,407909,Step back.
133,410661,412663,"Come on, Dom.
You gotta concentrate."
134,412830,414415,"Darius, show him the move."
135,414749,415875,Watch me.
136,416334,417543,Ball.
137,418628,421088,"In and out. Crossover.
Step back. Shoot."
138,422506,424986,"Yep. See, that's 'cause your brother
been putting in that work."
139,425134,426260,I ball all day.
140,426802,428387,Ow!
141,428471,429931,Dom. Focus.
142,430473,431974,You got basketball camp next weekend.
143,432141,433701,Them boys gonna be coming at your neck.
144,433809,435144,Seeing what you got.
145,440942,442610,"Oh, we quitting on each other now?"
146,443569,445947,Can't be great without putting in work.
147,458793,460544,All right. That's my guy.
148,460711,461837,Let's get some work done.
149,462588,464298,Enough of these games.
150,464465,465883,Okay. I'm ready.
151,467969,468970,Boys!
152,469720,472348,"Y'all can't stay out here all day.
It's dinner time."
153,472556,473766,"Oh, man."
154,473849,474850,"Really, Bron?"
155,475685,476870,What are we having for dinner?
156,476894,477937,Spaghetti and meatball?
157,479021,480064,Ow!
158,480564,482244,"- Ooh, that's my favorite.
- Damn!"
159,493411,495788,"We talked about you
affirming Dom more."
160,495955,497999,"Spending some
un-structured time with him."
161,498541,500167,We was just outside.
162,500251,502461,"I mean, how much more spontaneous
do you want me to be?"
163,502545,505548,"Babe. I am worried
that you are pushing him too hard."
164,505881,508300,"I mean, the kid keep telling me
he want the best coaching"
165,508384,509903,"so he can be the best player
on the court."
166,509927,511595,"Have you thought about
talking to your son"
167,511679,513264,about something other than basketball?
168,513514,514515,Like what?
169,514598,517435,Like how Dom built a video game.
170,517893,521188,He's 12 and he built his own game.
171,521355,523274,"Yeah, I know. I mean, that's great."
172,523441,526819,"I mean, but if I don't push him,
if I don't stay on him,"
173,526902,529071,"- all the distractions...
- He doesn't need a coach."
174,531657,533534,He needs his dad.
175,570821,572323,"LeBron James, a hit."
176,572490,573759,"- James...
- LeBron James..."
177,587963,592093,"I've searched far and wide
for the perfect partner for this launch,"
178,592885,594845,and I've finally found him.
179,595012,596138,LeBron James.
180,599016,602311,"Pete, he's a family man,
an entrepreneur,"
181,602478,607108,"a social media superstar
with millions of fans worldwide."
182,607274,610694,"Algorithmically speaking,
he's more than an athlete."
183,611362,613322,He's a king.
184,613405,614907,Hmm?
185,616075,617785,"I know I'm just an algorithm, Pete."
186,617952,620121,That's precisely why I need King James.
187,624333,626418,I'm stuck inside the Serververse.
188,628754,631715,No one knows who I am or what I do.
189,634718,636971,But that all changes today.
190,637138,640349,"Because today, Warner Bros. launches"
191,640432,643602,"the revolutionary technology
that I masterminded."
192,645396,646522,"Today,"
193,647314,649441,it's my time to shine.
194,651652,653946,"Just look at this guy, Pete."
195,655281,658826,"Oh, he is the key element
to this entire operation."
196,660202,662913,Once I partner with King James
197,663664,667877,"and combine his fame
with my incredible tech"
198,670087,672840,"I will finally get the recognition
and respect"
199,673007,675092,that I so richly deserve.
200,675926,678929,"LeBron James, get ready."
201,689481,690816,"Oh, hello."
202,692234,694486,A new idea from the algorithm.
203,695154,696780,I'm listening.
204,731065,732066,"Hey, son."
205,734151,735152,What you doing?
206,735903,738614,"Um, just building my game."
207,738781,740341,Is this the one you've been working on?
208,740407,743702,"Actually, it's basically done, but I..."
209,743869,745204,Here. Just...
210,745371,747957,"I still have to figure out
some of the player designs."
211,749792,751794,Whoa. Who are those guys?
212,751877,755089,"Oh, those are people around
the world tuning in to my livestream."
213,755297,757424,"- It's pretty cool, huh?
- Okay."
214,757633,760219,"And this is how it works.
You do combos and moves,"
215,760386,762680,"and the better you do,
the more people tune in."
216,762846,764446,"Let me see
a couple of those combo moves."
217,764890,766517,Crossover. Foul line!
218,766892,767972,"Oh, that was nice."
219,768143,770854,"- Ooh! Posterized!
- Posterized?"
220,771021,773232,Is this not real basketball?
221,773399,775025,"Well, I put a spin to it."
222,775192,776527,You can get style points.
223,777569,778969,"- Power-ups.
- Count it!"
224,779113,781615,"It's like basketball, but better."
225,781782,785244,"You just play for fun.
Remember fun, Dad?"
226,785452,786578,Tsk. I am fun.
227,786662,788038,"Man, give me that."
228,788205,789206,Show you how fun I am.
229,789373,790833,Kick your butt in this game.
230,791292,793252,"Dang, I miss this, man. I ain't..."
231,793711,794771,"- Whoa.
- Gimme dat!"
232,794795,795855,Were you trying to do my move?
233,795879,797298,"Yeah, I put it in the game."
234,797464,799842,"In and out.
Crossover. Step back."
235,800009,801010,Let it go.
236,802219,803220,Uh-oh!
237,803846,805472,No.
238,805556,806724,Why... Why he freeze?
239,809059,810602,"No, no, no."
240,810769,812563,"Man, can you fix it?
'Cause I don't want..."
241,812730,814170,"Hey, don't try to blame me for that."
242,814231,816358,"No. No, no. Don't erase my char..."
243,820946,823365,My entire character is gone.
244,824199,827578,"It's gonna take me at least
a week to rebuild this."
245,830539,832166,"Listen, son."
246,832333,833542,Setbacks happen.
247,833709,835878,"Adversity is a part of the process, man."
248,836045,837522,"But if you're passionate
about something,"
249,837546,839106,you gotta learn how to push through it.
250,842009,843344,You got me?
251,844887,847032,"Hey, I think I've got something
that will cheer you up."
252,847056,850017,"I'm meeting at Warner Bros.
about some high-tech movie thing."
253,850184,851727,You should come. Cool?
254,851894,852936,"Yeah, Dad."
255,853020,854313,"Oh, snap."
256,854480,856523,Did Dad just come up with a dope idea?
257,857983,859193,Please don't dab.
258,859360,860486,"Oh, what'd you just say?"
259,860652,862780,"Did you just say, ""Please, Dad, dab""?"
260,862946,864615,"- No, I said...
- Dab."
261,864782,867451,"Uncle Malik will be here in 15.
Let's roll."
262,870788,873707,"It's called Warner 3000
and it's supposed to be next level!"
263,873874,875376,This could be the new wave!
264,875542,877878,Hello. I'm AI G. Rhythm.
265,878045,882383,"And as you might have guessed,
I am an algorithm here at Warner Bros."
266,882549,884885,The studio behind all the classics.
267,885052,888722,"But now, it's time
for our greatest creation yet..."
268,889181,890474,Warner 3000.
269,890557,892243,This will revolutionize
270,892267,894311,"the entire entertainment industry,"
271,894478,897856,"and we want you
to be on our team, King James."
272,898857,900317,"Now, we know you're busy,"
273,900484,902861,"but we can make it
very easy for you."
274,903612,906365,"Because our brand new
Warner 3000 technology"
275,906573,908033,will scan you right into the movies.
276,910953,913205,"Oh, it's like looking
into a mirror, huh, LeBron?"
277,913664,917334,"Think about it,
Batman versus LeBron."
278,923298,925050,LeBron of Thrones.
279,931390,933475,LeBron and the Chamber of Secrets.
280,935352,936728,The possibilities are endless.
281,937896,940065,You'll be the king of Warner Bros.
282,940232,942943,That's the power of Warner 3000.
283,944027,946155,"Say yes, LeBron, and together,"
284,946697,949950,"we'll make mind-blowing
entertainment..."
285,950159,951201,forever.
286,955581,957124,Huh? Huh?
287,961879,965090,"So, what do you say?"
288,965257,967885,"Pretty sweet, right?"
289,967968,969088,"I mean, look at him."
290,969136,970888,Look at that face. He's speechless.
291,971054,972431,He loves it!
292,972598,974475,"How about that algorithm, huh?"
293,974975,976295,Pretty brilliant.
294,976435,978645,"He came up
with the entire presentation."
295,978812,980856,I should watch my back.
296,980939,983025,"Yes! Thank you! Finally, huh?"
297,983192,984902,"Put some 'spec on my name, right?"
298,984985,986737,"Oh, man."
299,986820,988220,"That was, um..."
300,988864,989864,That was something.
301,990032,991116,"Right, Malik?"
302,992951,995120,"Listen, guys, I'm a ballplayer."
303,995287,997164,"You know, and athletes acting,"
304,997331,998582,that never goes well.
305,999124,1002044,"I'm sorry, guys.
This is all just..."
306,1002127,1003563,It's just not me.
307,1003587,1005672,"And I can't afford to take
time away from the game."
308,1005839,1006882,"Whoa, Bron."
309,1007382,1009343,"- Let's not be too hasty here.
- Malik."
310,1009426,1010820,"Let's just hear
what they're talking about."
311,1010844,1011845,"Nah, nah, nah."
312,1011929,1014139,"With all due respect,
with all due respect,"
313,1014306,1016517,this idea is just straight-up bad.
314,1016892,1018852,That algorithm is busted.
315,1019311,1021063,Busted?
316,1021230,1023270,"It's among the worst
ideas I've ever heard."
317,1023440,1024900,"Top five, easily."
318,1025484,1027694,Okay. Thank you. Thank you!
319,1027861,1029221,That's exactly what I was think...
320,1029363,1030822,You're saying what I'm thinking.
321,1030989,1032991,"This is trash, this algorithm."
322,1033158,1034284,"You're cancelled, algorithm!"
323,1034993,1037079,"What a terrible idea.
So stupid."
324,1037162,1038598,"So stupid.
This is what happens when..."
325,1038622,1040582,"Pete, tell me
he did not just say ""stupid""!"
326,1040791,1041875,Uh-oh.
327,1042042,1044461,"I don't know.
I think the algorithm's pretty cool."
328,1045003,1046004,I've got a question.
329,1046171,1050217,"Is it a heuristic algorithm
or some kind of matrix variant?"
330,1050300,1054263,"Dom,
using the medulla oblongata."
331,1054888,1057891,"I think we got a little
Stevie Jobs on our hands."
332,1058058,1059858,"Yeah, I'm actually building
my own video game."
333,1060018,1061728,"Oh, nice, your own video game."
334,1061895,1063772,"You heard of the E3
Game Design Camp, right?"
335,1063897,1064898,Yeah.
336,1064982,1066751,"Well, there's gonna be one
next weekend, and I'm going."
337,1066775,1068586,"There's gonna be a whole bunch
of other coders there."
338,1068610,1070696,"- Hold... Dom.
- I'm actually looking forward..."
339,1070779,1073490,"No. You can't go to that.
Basketball camp is next weekend."
340,1075033,1077411,"I'm not going to basketball camp, Dad."
341,1077953,1079413,"Dom, you don't have to be scared."
342,1079580,1081540,"You got amazing potential on the court,"
343,1081707,1083041,and I can help you get there.
344,1084167,1085502,"That's not what I want, Dad."
345,1089381,1090382,Dom.
346,1091300,1093135,Wonderful to meet...
347,1093677,1095053,"Excuse me, guys."
348,1095220,1096221,Dom!
349,1097264,1099384,"Hey, hey, I'mma catch you at the car.
I'mma catch you."
350,1100601,1101768,What?
351,1104938,1107024,"So, is this a hard pass or..."
352,1111820,1114406,Who does this guy think he is? Huh?
353,1114531,1117117,Rejecting me? Humiliating me?
354,1124416,1125626,Okay.
355,1127169,1128378,All right.
356,1130422,1132966,"I tried being a team player,"
357,1133133,1134968,but those days are over.
358,1135594,1138096,"I'm done playing
by everybody else's rules."
359,1138263,1140015,It is my game now.
360,1143393,1144394,Dom!
361,1144561,1146241,"I'm your father.
When I say stop, you stop."
362,1147522,1149149,"Right this way, King James."
363,1149483,1151568,"Dom,
do not get in that elevator!"
364,1151735,1152986,"Come on, Dom."
365,1164122,1166249,"You know I can't let you
back out of camp like that."
366,1167042,1168251,You made a commitment.
367,1169294,1171421,You make me hate basketball.
368,1172506,1174508,"- You don't mean that.
- I do."
369,1175467,1177052,Everything is always what you want.
370,1177219,1179388,You never let me do what I wanna do.
371,1179554,1182307,You never let me just do me.
372,1183975,1185018,"""Do me""?"
373,1185185,1186436,"You think I got to ""do me"""
374,1186520,1188855,when I was 12?
375,1190691,1192776,Hold up. Wrong floor.
376,1200534,1202202,Warner 3000.
377,1205622,1207874,"Welcome, Dominic James."
378,1218468,1221388,"Wow, this is cool."
379,1224224,1226560,"Dom? Stop playing, man."
380,1226727,1227967,You know your mom don't like it
381,1228019,1230063,"when I don't have you home
for dinner on time."
382,1230939,1233567,"All this computer stuff
is your thing, not mine."
383,1235694,1236695,Dom?
384,1242576,1243577,Dom!
385,1249541,1250542,Dom?
386,1255589,1258091,What in The Matrix hell?
387,1277444,1279488,Dom! What's going on?
388,1279946,1281072,Are you okay?
389,1281239,1282407,"Yeah, I'm fine."
390,1283033,1284117,Wow.
391,1284284,1287788,"This must be
some kind of immersive tech"
392,1287954,1291541,"like holography with haptic technology,
or something like VR..."
393,1291708,1294002,"Dude, dude, dude.
Just tell me what's going on."
394,1294169,1296338,"Dad, I think we're digitized."
395,1296505,1298673,"- We're in the computer!
- We're in the computer?"
396,1298840,1300280,"- Dad.
- You know I'm claustrophobic."
397,1300342,1301611,"- Dad, chill out.
- How do we get out of here?"
398,1301635,1302695,"- Dad. Dad.
- Where's the elevators?"
399,1302719,1304071,"Hey, Siri,
can you let us out of here, please?"
400,1304095,1305138,Siri?
401,1305222,1306699,Who goes there?
402,1306723,1310644,"Who dares disturb
the great and the powerful AI G.?"
403,1314606,1315917,Look at your faces.
404,1315941,1318068,You were terrified!
405,1318151,1320362,Priceless.
406,1329246,1331164,See? Nothing to be afraid of.
407,1331540,1332541,The computer's Black.
408,1332707,1333750,I can see that.
409,1333834,1334835,Hello.
410,1337045,1338046,Hi.
411,1339381,1342551,Wow. King James. I am a big fan.
412,1342634,1343969,I just...
413,1344135,1346015,"I don't know,
I thought you'd be taller somehow."
414,1346638,1347889,Hmm.
415,1347973,1350141,"- These graphics are unreal.
- Right?"
416,1350308,1352394,"Dom, don't touch
the silver computer man."
417,1352894,1353894,What's going on?
418,1354020,1356106,"- And who are you, man?
- Uh..."
419,1356189,1358029,"You're right. Forgive me.
Where are my manners?"
420,1358984,1361361,I am King AI G. Rhythm.
421,1361528,1362928,"Oh, you're that guy from the video."
422,1362988,1364823,"Yes, I am."
423,1364906,1366658,And this... Ha-ha.
424,1366992,1368952,"Oh, gentlemen, this..."
